appid,recommendationid,author_steamid,review,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,game_title
34010,201678596,76561199240955990,alotta people dont like this game and i can see why  but i freaking love it,True,1,0,0.5185185670852661,0,True,False,False,Alpha Protocol
34010,201370713,76561198148984377,,True,0,0,0.5,0,True,False,False,Alpha Protocol
34010,201236048,76561197963908835,of all the games ive ever played this is the one i wish would get remade the most  so much of it is dated or wasnt that great to begin with but the writing and story and choice  consequences stuff was so excellent,True,0,0,0.5,0,True,False,False,Alpha Protocol
34010,201162452,76561198048512074,my favorite bad game,True,1,0,0.5238095521926879,0,True,False,False,Alpha Protocol
34010,201009674,76561198088641512,a hidden gem if you like the deus ex series you should definitely give this one a try,True,0,0,0.5,0,False,False,False,Alpha Protocol
34010,201000033,76561197995776428,its pretty imbalanced gunplay isnt very satisfying but after playing it several times since release i still enjoy it  its worth it for the choices matter element alone  one of very few games that did this right,True,1,0,0.5,0,False,False,False,Alpha Protocol
34010,200854643,76561197998887741,very unique game very interesting story and mechanics with some extra job this game could be much much better than it is right now in any case its worth playing enjoyed very much,True,0,0,0.5,0,True,False,False,Alpha Protocol
34010,200846516,76561198293273407,hidden gem,True,0,0,0.5,0,True,False,False,Alpha Protocol
34010,199745503,76561198184723391,recommended,True,0,0,0.5,0,True,False,False,Alpha Protocol
34010,199705228,76561197971089496,"excellent story decent graphics great battle mechanics engrossing gameplay convincing character dialogues and delivery wellmade in every respect give it a shot",True,2,0,0.5238095521926879,0,True,False,False,Alpha Protocol
34010,199377715,76561198081461437,this game doesnt work it keeps crashing at start up and i couldnt get my money back buy the gog version instead,False,2,0,0.4819892048835754,0,True,False,False,Alpha Protocol
34010,199155472,76561198055610431,game is quite buggy but it is probably the best espionage story in a game ive ever played expect dialogue trees and character interaction on the level of mass effect and lots of twists and turns,True,3,0,0.5310224294662474,0,True,False,False,Alpha Protocol
34010,198865296,76561198238480550,i dont even remember when i got this game but thank god i did its a bit dated yet fun a hidden gem from obsidian,True,4,0,0.5399776697158813,0,False,False,False,Alpha Protocol
34010,198778135,76561198026247009,awesome game,True,0,0,0.5,0,False,False,False,Alpha Protocol
34010,198624729,76561197985066751,alpha protocol amid todays dull timewasting games feels like a breath of fresh air its absolutely janky and the enemies are dumb but the sense of control and power fantasy you get over enemies with the right playstyle kept me hooked the storys decent progression felt satisfying and i dont recall being this engaged with ingame emails plus choices genuinely affect outcome in this game which is cool  8010,True,1,0,0.4871463477611541,0,True,False,False,Alpha Protocol
34010,198602908,76561198853115023,pretty interesting game its got janky stealth and shooting and the finale is quite underwhelming but this is an experience that i encourage everyone to try,True,1,0,0.5109692811965942,0,True,False,False,Alpha Protocol
34010,198284455,76561198041464155,read up on the game beforehand  it is a little clunky on pc and dated but a lot of fun  ive enjoyed it,True,0,0,0.4871463477611541,0,True,False,False,Alpha Protocol
