appid,recommendationid,author_steamid,review,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,game_title
41300,195360963,76561198028854449,arcade arena games but you play as planes things making sure you dont stall matter a lot in this game  the multiplayer servers are basically dead the game is 15 years old so thats not a surprise but the bot support is pretty good,True,0,0,0.5,0,True,False,False,Altitude
41300,192329282,76561198848912404,nice,True,0,0,0.5,0,False,False,False,Altitude
41300,191411594,76561197974644026,the exploitability of its netcode offers freedomcheat engines server hacksproving that broken systems birth their own countercultures,True,1,0,0.5,0,True,False,False,Altitude
41300,188013738,76561198015328000,goodddddddd,True,0,0,0.5,0,True,False,False,Altitude
41300,186248023,76561198818506045,absolutely love it but servers are dead and filled with bots tho recommend playing with your friends,True,0,0,0.5,0,False,False,False,Altitude
41300,184876994,76561198365643115,it was a really fun game back in 2010 still is a pretty fun game to this day it just needs players the community has been dead for many years but you would probably have fun playing for a while with a group of drunk friends i still have nostalgia for this game you could create your own maps for a few different game modes but the most fun was just talking trash while playing some team base destruction or 1 life death match rip altitude,True,1,0,0.5,0,False,False,False,Altitude
41300,176131395,76561199043921481,epic gameplay,True,0,0,0.5,0,False,False,False,Altitude
41300,174194420,76561199003356551,very nice little game easy controls challenging dogfights different gamemodes different planes there is something for everyone small active community so youll play bots mostly when you find people online theyre very nice very mindfull very demure,True,0,0,0.5,0,False,False,False,Altitude
41300,170748358,76561198025482752,really engaging mechanics fun modes kinda sorta half dead but ladder is sometimes up,True,0,0,0.5,0,True,False,False,Altitude
41300,169404988,76561198219542335,very fun and cute game i love this,True,0,0,0.5,0,False,False,False,Altitude
41300,168967793,76561199162415137,its fun but the game is very dead thank god for the bots lmao,True,0,0,0.5,0,False,False,False,Altitude
41300,165487681,76561199588235740,fun game with a plane what can i say,True,1,0,0.5,0,False,False,False,Altitude
41300,162762248,76561199493325036,cool game once you get used to the controls deserves more players,True,0,0,0.5,0,False,False,False,Altitude
41300,162287261,76561197998732878,gzel zaman geirmek iin oynanabilecek bir oyun sunucu zerinde oklu oyuncu ile olmasa bile botlar ile bir sre faydal oluyor,True,0,0,0.5,0,False,False,False,Altitude
41300,161470045,76561198105869332,generally simple but technical and fun mechanics battles can escalate from flying to the point peacefully to utter chaos on contact feels balanced with an incredibly high skill ceiling its a shame the game as so few players but there is a small friendly consistent playerbase who will no doubt absolutely destroy you in online matches,True,0,0,0.5,0,False,False,False,Altitude
41300,160966511,76561198866922555,pretty fun so far,True,0,0,0.5,0,False,False,False,Altitude
41300,160873193,76561198380607403,yea im 13 but i like games liek this etc sooo its go for me also the community is awsome  3,True,0,0,0.5,0,False,False,False,Altitude
41300,155505883,76561198828828025,love it,True,0,0,0.5,0,False,False,False,Altitude
41300,155157040,76561197992512352,i had a lot fun with this game some years back it would be great to see a new version of it to bring in new players,True,0,0,0.5,0,True,False,False,Altitude
41300,154452023,76561198001664600,best game i played with friends,True,0,0,0.5,0,False,False,False,Altitude
41300,152757841,76561198216335107,fun,True,0,0,0.5,0,False,False,False,Altitude
41300,152459475,76561198015073626,game,True,0,0,0.5,0,False,False,False,Altitude
41300,148079394,76561197988847342,awesome game sadly its pretty dead now  would love a modern remake with some single playercoop content to play while waiting in lobbies,True,0,0,0.5,0,True,False,False,Altitude
41300,146107398,76561197982594011,best game of the would recomend for gamer,True,0,0,0.5,0,True,False,False,Altitude
41300,143778899,76561199164578191,it is a really fun game where you can challenge yourself or just destroy some bots for the heck of it there are a few game modes each of them very fun it is just a really fun game,True,0,0,0.5,0,False,True,False,Altitude
41300,140618444,76561198275511994,fun casual has lots of game modes 2d rocket league but with planes,True,0,0,0.5,0,False,False,False,Altitude
41300,137094570,76561198108555762,love this game playing it is so great,True,0,0,0.5,0,False,False,False,Altitude
41300,136717506,76561197988674327,if you ever played winbolo or continuum youll likely love this game  simple controls and concept but frustrating to push the skill ceiling higher,True,0,0,0.5,0,False,False,False,Altitude
41300,135390219,76561198025707128,muito divertido,True,0,0,0.5,0,True,False,False,Altitude
41300,130150700,76561198833261916,entertaining game maybe nice to play with a couple of friends and a couple of drinks  onlne multiplayer is dead by now but servers are still active gotta respect that,True,0,0,0.5,0,False,False,False,Altitude
41300,128503232,76561198118377300,from time to time i enjoy waiting for my downloads with a goodold airplane football destroying the enemy base or just 2d dogfights are good too,True,0,0,0.5,0,False,False,False,Altitude
41300,124804912,76561197970727416,its free now try it,True,0,0,0.5,0,True,False,False,Altitude
41300,124011973,76561198154657581,strategic fastpaced multiple game modes flexible player count perfectly balanced seriously and a nice community even if its small ive really hit it off with this game recently and even though im new and somewhat not great the people are being kind offering advice and generally being great,True,0,0,0.5,0,False,False,False,Altitude
41300,123315704,76561197974230140,i bought this game for 2 and today it still remains the best 2 dollars ive ever spent on anything ever  the game was already well on its way on the river of styx back when i got it years ago with  only about 30 or so servers up at the time but dear god was this a fun game  there were nights i missed going to sleep because my friends and i needed to get another game of ball in  every time i see it in my library of games it brings a smile on my face as i remember the fun i had on this game,True,0,0,0.5,0,True,False,False,Altitude
41300,122935851,76561198018246949,does what it says on the tin and is entirely free dont expect more than that singleplayer isnt much,True,0,0,0.5,0,False,False,False,Altitude
41300,120480172,76561199056964426,fun fun fun fun fun,True,0,0,0.5,0,False,False,False,Altitude
41300,118593796,76561199105222500,try crack its less addicting,True,0,0,0.5,0,False,False,False,Altitude
41300,116301862,76561198007425197,arcade fun ,True,0,0,0.5,0,True,False,False,Altitude
41300,115451090,76561197975301986,it was a lot of fun as long as it had players for a few years now its basically impossible to play because of lack of players,False,0,0,0.5,0,True,False,False,Altitude
41300,114521112,76561198299436332,ive first dowloaded this game in 2016 and i liked it until now i have been playing it occasionally and its really fun with some friends the funnies game mode for me is the tbd the only thing has changed since 2016 is that every server is most of the day empty and unfortunately it seems a little bit dead well it has had its time already i guess   i will forever remember that game it has something special that others dont have ,True,0,0,0.5,0,False,False,False,Altitude
41300,114018980,76561198018607530,fun,True,0,0,0.5,0,True,False,False,Altitude
41300,113715567,76561197997307457,man i loved this game its so damn good rocket league sideswipe reminded me of this similar but  more complex perfectly balanced team arcade game   shame theres hardly and players anymore really could do with a mobile release and cross platform play,True,0,0,0.5,0,True,False,False,Altitude
