appid,recommendationid,author_steamid,review,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,game_title
33930,201378688,76561198071762171,i could swear i had far more hours on this than is listed on steam i played the dayz mod for at least a hundred hours and probably much more  anyways game is really good,True,0,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,201297868,76561198085959367,whaaat,True,0,0,0.5,0,False,False,False,ArmA II: Operation Arrowhead
33930,201078617,76561198399024700,good game i played dayz epoch dayz mod  overpoch  origins mod and i enjoyed the best server ever is armaholics anonymous but it doesnt exist anymoregreat franchise  go play on genesis epoch 1071 ,True,1,0,0.5238095521926879,0,False,False,False,ArmA II: Operation Arrowhead
33930,200957598,76561199218883213,amazing game but i never got to experience it in its prime the servers are mostly dead but the upside is that arma 2 offers such an amazing single player with countless missions,True,0,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,200876381,76561198843058629,amazing game loving every second the nostalgia of this game is great and genesis is great,True,2,0,0.5406360626220703,0,False,False,False,ArmA II: Operation Arrowhead
33930,200859718,76561198850727937,fucking peak,True,0,0,0.5,0,False,False,False,ArmA II: Operation Arrowhead
33930,200007953,76561198894306133,i dont even play the game actually  i just use it to test mods textures scripting general bug hunting and basically just a sandbox fortunately i started playing it before armaholic and other modding sites disappeared so yeah this game will probably stay in my library even if arma 3 is also in it,True,0,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,199906742,76561198256165155,we didnt care how clunky and buggy it was we enjoyed it regardless and never said we hated it   dead but never forgotten,True,1,0,0.5145630836486816,0,False,False,False,ArmA II: Operation Arrowhead
33930,199816224,76561198121281412,2,True,0,0,0.5,0,False,False,False,ArmA II: Operation Arrowhead
33930,199772600,76561198435322420,i will leave the cat here so that everybody who passes by can pet it and give it a thumbs up and awards 　　　 　　　　 　　　 　　 　　 l 　 　　 　 x 　　 　 　　　 　  　　　 　 　　  　 　 　　　　 　　　 　　 　  　,True,5,0,0.5549500584602355,0,True,False,False,ArmA II: Operation Arrowhead
33930,199750521,76561197996111123,not my lane,False,0,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,199271382,76561198874827156,its crazy to think this game came out in 2010 it still looks and feels great to play i just wish they had added steam workshop support,True,1,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,199131384,76561198090955052,honestly tempted to play this again now but it used to be the shit back in the day birthed two other big games notably dayz standalone  pubg as well as in my opinion kicking off the idea of fivem gtav rp and probably some other game modes would i play it now maybe but itd be quite dated though the sandbox is probably still fun and the modding community is maybe still around,True,0,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,198972358,76561198041406776,good,True,0,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,198810603,76561198241217748,the best walking sim out there,True,0,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,198751543,76561198987672573,good game,True,0,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,198508151,76561198031785358,dude why tf would anyone take the days one needs to get good at this,False,0,0,0.4761904776096343,0,False,False,False,ArmA II: Operation Arrowhead
33930,198355920,76561198123554848,very good,True,1,0,0.5238095521926879,0,False,False,False,ArmA II: Operation Arrowhead
33930,198156860,76561198160771272,feels exactly like the 2025 warfare film,True,0,0,0.4761904776096343,0,False,False,False,ArmA II: Operation Arrowhead
33930,197892605,76561199468652514,my fav game rn piss poor gameplay but its the fun kind of piss poor,True,0,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,197848610,76561198034175314,arma has a steep learning curve these games are very clunky and buggy but when things function properly they are some of the most immersive and rewarding experiences in gaming i like how choices effect the endgame,True,0,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,197617623,76561199466720993,"813 get in that insert roger oscar mike no can do",True,0,1,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,196775929,76561198350755999,its pretty cool,True,1,0,0.5238095521926879,0,False,False,False,ArmA II: Operation Arrowhead
33930,196669046,76561197986205212,kinda good,True,0,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,196473651,76561198129241629,tons of fun on this back ion the daystill going after all this time,True,0,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,196417310,76561199734514512,i like the game but i didnt get to play it much because my lowend pc couldnt handle it well i thought it would run fine since its an old game but nope i tried downloading some mods like dayz but i had no idea how to set them up maybe ill come back to the game after i upgrade my pc,True,0,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,196334395,76561199374221070,what a classic i will recommend this game to arma players but definitely not to the newfags they will be scared,True,0,0,0.5,0,False,False,False,ArmA II: Operation Arrowhead
33930,196042246,76561199198393222,nice war crime simulator,True,1,0,0.5238095521926879,0,True,False,False,ArmA II: Operation Arrowhead
33930,195725878,76561199785344496,titssssssssss,True,1,0,0.5205479264259338,0,True,False,False,ArmA II: Operation Arrowhead
33930,195680039,76561197984173275,arma 3 is more modular and better supported by a long shot obvi but arma 2 has its own charm and feelweight that delivers for mil sim fans that enjoy the classic vibes,True,0,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,195584449,76561198144526561,this was my first intro to pc gaming back in 2011 soley for the dayz mod then learning the mechanics of base game and screwing around for countless offline lan hours with friends throughout the years i will be forever grateful for the memories i carry from the golden age of a2,True,1,0,0.5238095521926879,0,True,False,False,ArmA II: Operation Arrowhead
33930,195070095,76561198119385430,game is unplayable windows update broke the game and there is no way to play it other than going through an annoying process to fix it which didnt even work for me,False,1,0,0.5199999809265136,0,False,False,False,ArmA II: Operation Arrowhead
33930,195057737,76561198063184127,no longer works for windows 11 not downloading some sketchy discord fix,False,1,2,0.5154184699058532,5,True,False,False,ArmA II: Operation Arrowhead
33930,195017334,76561198080639910,ww2 great,True,0,1,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,195013339,76561198175555058,i forgot what the game was like,True,1,0,0.5238095521926879,0,True,False,False,ArmA II: Operation Arrowhead
33930,194692389,76561199182581548,why am i stuck in a fucking rock,True,2,0,0.5454545617103576,0,True,False,False,ArmA II: Operation Arrowhead
33930,194366759,76561198015322699,145 hours yeah it was all dayz,True,2,0,0.5238095521926879,0,False,False,False,ArmA II: Operation Arrowhead
33930,194363851,76561198088480255,just get arma 3 710,True,0,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,194297314,76561198066818193,inducted into the game hall of fame,True,1,0,0.52173912525177,0,True,False,False,ArmA II: Operation Arrowhead
33930,193060334,76561199612926519,game is good but i think it borrows some assets from arma 2 so some things can be glitchy without arma 2 as well also will not launch with battleye,True,0,0,0.4945652186870574,0,True,False,False,ArmA II: Operation Arrowhead
33930,192804564,76561199447362332,great game better than normal arma 2,True,1,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,192780408,76561197979005944,"please descrive what you liked about this product everything i love it",True,1,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,192629834,76561198128096994,been playing it for years,True,0,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,192069899,76561198105885255,i played this game for about 20 minutes so yeah its really good,False,2,0,0.4664722979068756,0,True,False,False,ArmA II: Operation Arrowhead
33930,191963317,76561199470633543,its realistic and cool for its time but it has a bunch of bugs story its very good and multiplayer its kinda dead 710,True,0,0,0.5,0,False,False,False,ArmA II: Operation Arrowhead
33930,191842930,76561197999133935,the modding scene was fun back in the day but these days not worth it,False,1,0,0.5161290764808654,0,True,False,False,ArmA II: Operation Arrowhead
33930,191719958,76561198427227219,classic,True,0,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,191694935,76561198060569652,where it all started,True,0,0,0.5,0,False,False,False,ArmA II: Operation Arrowhead
33930,190843508,76561198826708101,everythingwith mods,True,0,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,190423934,76561199636267413,way easier to command the ai then arma 3 and better graphics then the base arma 2 game,True,1,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,190276228,76561198423340319,as expected this game is janky and buggy mess like all arma games also no multiplayer,True,2,0,0.5022522211074829,0,False,False,False,ArmA II: Operation Arrowhead
33930,190272041,76561197989153846,realism at its finest,True,0,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,189655495,76561198042848035,yes,True,0,0,0.4761904776096343,0,True,False,False,ArmA II: Operation Arrowhead
33930,189604093,76561198944425155,certified milsim peak,True,1,0,0.5044247508049011,0,False,False,False,ArmA II: Operation Arrowhead
33930,189420229,76561198103287871,arma 2 operation arrowhead played few times it was cool but most people bought it for dayz mod,True,4,1,0.5491143465042114,0,True,True,False,ArmA II: Operation Arrowhead
33930,189319321,76561199055182704,awesome game still holds ups a decade later,True,1,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,188999166,76561197981290010,delightful experience,True,1,0,0.5,0,False,False,False,ArmA II: Operation Arrowhead
33930,188830072,76561197986827122,oh how many thousands of hours ive spent in these games editors and campaigns over the last 20 years  from ofp 2001 arma 2007 arma2 2009 arma2oa 2010 to arma3 2013 cant wait for arma 4 and going back to our cold war roots ,True,4,0,0.53657728433609,0,True,False,False,ArmA II: Operation Arrowhead
33930,188080485,76561197997151409,rating not applied  a majority of my time in this game was spent playing the original dayz mod highly addictive and good as a greater game engine platform akin to garrys mod,True,4,0,0.5454545617103576,0,True,False,False,ArmA II: Operation Arrowhead
33930,186576792,76561198225137236,forward fast,True,0,1,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,186239781,76561199221233394,you need mods to enjoy it tho otherwise fire bloody ptsd sim,True,0,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,185967725,76561198061680707,"                               1000                         500    10 ",True,0,0,0.4827586412429809,0,True,False,False,ArmA II: Operation Arrowhead
33930,185930788,76561199646915579,this game is good if you want sandbox military sim and the community is very good,True,0,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,185833554,76561199258823983,i still dont know what they mean by front,True,0,1,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,185080009,76561198201432213,best in the series i really hope someone revives a wasteland server,True,2,0,0.5017544031143188,0,True,False,False,ArmA II: Operation Arrowhead
33930,184712803,76561198035896309,dayz mod,True,2,0,0.5238095521926879,0,False,False,False,ArmA II: Operation Arrowhead
33930,184614779,76561198167410555,this game does not have keyopticstemp65537,False,0,1,0.5,0,False,False,False,ArmA II: Operation Arrowhead
33930,184482102,76561198084821318,dayz its awesome had so much fun,True,0,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,184441232,76561198361148405,buna ziua,True,0,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,184365677,76561199659037653,old game that still stuck on my heart,True,0,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,184251924,76561198400114345,best game ever,True,2,0,0.5454545617103576,0,True,False,False,ArmA II: Operation Arrowhead
33930,183920038,76561198170045001,classic,True,0,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,183641347,76561198121962628,good game,True,0,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,183587024,76561198096006211,good,True,0,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,183572039,76561198082594030,gg,True,0,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,183443432,76561198055326467,good,True,0,0,0.5,0,False,False,False,ArmA II: Operation Arrowhead
33930,183347517,76561198068271728,great game,True,0,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,182665728,76561198134654517,the best and jankiest expansion for a military game ever made,True,0,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,181978197,76561199417841496,"im not going to write a docktor essay    its fucking good",True,0,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,181568688,76561198864580337,dude i swear to fucking god they keep constantly changing the game backgrounds in the library i swear they are im not crazy anyway good game very fun when theres people actually playing and pretty worth it for the dayz mod too,True,1,0,0.5273631811141967,0,True,False,False,ArmA II: Operation Arrowhead
33930,180678607,76561198059076179,i like to crank hogs out for this game what a world ill never forget the 2012 rasman checkpoint insurgent kamikaze paradrop attack rip to all nato and civs that died on that fateful day,True,1,1,0.5273631811141967,0,True,False,False,ArmA II: Operation Arrowhead
33930,180483379,76561198854227925,a,True,0,0,0.5,0,False,False,False,ArmA II: Operation Arrowhead
33930,179645728,76561197971956668,lt doesnt work  l dont know what the problem is,True,0,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,179547422,76561198367286832,hell yeah,True,0,1,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,178926147,76561198041225086,unironically has the best modded and competent ai compared to a3 its not even funny coslx with wolfpack realistic ai highly recommended when revisiting this classic,True,4,0,0.5560023784637451,0,True,False,False,ArmA II: Operation Arrowhead
33930,178211435,76561198405648800,smells like napalm,True,0,0,0.5,0,False,False,False,ArmA II: Operation Arrowhead
33930,177466548,76561198192256394,one of the best games made,True,2,0,0.5409494042396545,0,True,False,False,ArmA II: Operation Arrowhead
33930,177342194,76561199549406637,arma 3 is better but arma 2 is still a good choice,True,0,1,0.4761904776096343,0,False,False,False,ArmA II: Operation Arrowhead
33930,177186121,76561198217216869,was really fun,False,2,1,0.5057033896446228,0,True,False,False,ArmA II: Operation Arrowhead
33930,176680812,76561198835502772,yay,True,0,0,0.5,0,False,False,False,ArmA II: Operation Arrowhead
33930,176403369,76561198059804297,im sure there are many who enjoy it but it wasnt for me more milsim than video game much of the time,False,1,3,0.5038167834281921,0,True,False,False,ArmA II: Operation Arrowhead
33930,176240588,76561199562615526,still good in 2024,True,1,0,0.5209580659866333,0,False,False,False,ArmA II: Operation Arrowhead
33930,176173145,76561198051054305,its ok,True,3,2,0.5501022934913635,0,True,False,False,ArmA II: Operation Arrowhead
33930,175838820,76561198059683035,be the arrow and touch my head,True,0,1,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,175822460,76561198086444106,brilliant game,True,0,0,0.5,0,True,True,False,ArmA II: Operation Arrowhead
33930,175657249,76561198100440451,i dont know i only played like few hours,True,1,1,0.5238095521926879,0,True,False,False,ArmA II: Operation Arrowhead
33930,175537147,76561198859187147,best military simulation the addons are bit difficult to find now since it is an old game but totally worth it,True,2,0,0.5356037020683287,0,True,False,False,ArmA II: Operation Arrowhead
33930,175010287,76561198036407412,great game i recommend it if you have a low end pc otherwise go for arma 3 it has some bugs with the mission objectives but still worth the purchase especially at a discounted price i played it all on steam deck and i can say it was worth it,True,0,0,0.4724409580230712,0,True,False,False,ArmA II: Operation Arrowhead
33930,174967978,76561198253369207,plays amazing honestly sometimes i truly get tired of arma 3 and i just start eyeing up this game because of it replayable gamemode of buying units and controlling territory especially having the ability to play campaign in coop with a friend just adds to the value of this amazing game,True,1,0,0.5169081687927246,0,True,False,False,ArmA II: Operation Arrowhead
33930,174928141,76561199351358758,good and i would probably suggest you get this with the original arma2 but you dont have to cause oa is better in every way,True,1,0,0.5238095521926879,0,True,False,False,ArmA II: Operation Arrowhead
33930,174884750,76561198797027490,chad,True,0,0,0.46875,0,True,False,False,ArmA II: Operation Arrowhead
33930,174753597,76561199436393934,though this game is older i play it more than most the level editor is the shit the mods that still exist make this game endless fun,True,2,0,0.541984736919403,0,True,False,False,ArmA II: Operation Arrowhead
33930,172457678,76561198039272014,1,True,0,0,0.5,0,False,False,False,ArmA II: Operation Arrowhead
33930,171868482,76561198081791022,you bought this to play day z yes you did stop lying dont look at me in that tone of voice,True,6,1,0.5219959020614624,0,True,False,False,ArmA II: Operation Arrowhead
33930,171037367,76561199100042863,nice,True,0,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,170972996,76561198115680251,ah used tae live this gemme as a wee lad,True,0,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,170929410,76561198243988154,good,True,0,1,0.5,0,False,False,False,ArmA II: Operation Arrowhead
33930,170866690,76561198019322283,i bought this so i could play dayz lol,True,1,0,0.4760006070137023,0,True,False,False,ArmA II: Operation Arrowhead
33930,170844867,76561198046764042,yes,True,0,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,170774422,76561199235878118,somehow my fps in this game is higher than my fps in roblox,True,0,0,0.5,0,False,False,False,ArmA II: Operation Arrowhead
33930,170728720,76561198965874025,war haters when they realise there is a respawn mechanic infinite ammo and little dark age playing in the sky,True,0,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,170600607,76561198041533306,milsim that can run on a potato worth a 5 sale,True,3,0,0.5395907759666442,0,True,False,False,ArmA II: Operation Arrowhead
33930,170407720,76561199138530190,5,True,0,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,169981950,76561198404137872,best arma,True,0,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,169980607,76561198798829503,my first arma game was arma 3 yet i find this game better than the third perhaps its nostalgia that was never there,True,1,0,0.5049999952316284,0,True,False,False,ArmA II: Operation Arrowhead
33930,169456678,76561199071484035,still fun to play,True,0,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,168234000,76561198162311887,one of the best games ive ever played in my entire life what can i say arma was a part of my life for years so many friendships and memories made on this gem i still miss playing to this day lets us not forget dayz which was birthed from this  purchase to support the company,True,2,0,0.5400696992874146,0,False,False,False,ArmA II: Operation Arrowhead
33930,168102145,76561199143784349,game is good nothing more need more performance fps,True,0,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,167656629,76561198950865086,i wish they merge this and the base game like wtf,True,1,0,0.5238095521926879,0,True,False,False,ArmA II: Operation Arrowhead
33930,167634697,76561198133408297,its ok,True,0,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,167513622,76561198140172477,arrowhead that gives no female head sad ,True,2,1,0.5070095658302307,13,False,False,False,ArmA II: Operation Arrowhead
33930,166951783,76561198044341154,wait isnt this dayz,True,0,0,0.4780876636505126,0,True,False,False,ArmA II: Operation Arrowhead
33930,166951647,76561197972463855,yes better than arma 3,True,0,1,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,166846465,76561198006824581,daaaaaaaaayz mod,True,0,0,0.4761904776096343,0,False,False,False,ArmA II: Operation Arrowhead
33930,166784823,76561198127552186,excelant,True,0,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,166721655,76561198866609733,words cant describe how much i miss this game,True,0,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,166610892,76561199479735692,"i executed a bunch of takistanis very realistic one more thing added to the geneva checklist then i raided osama bin ladents palace",True,2,0,0.5454545617103576,0,True,False,False,ArmA II: Operation Arrowhead
33930,166592166,76561198047805318,i miss dayz mod ,True,0,1,0.5,0,True,False,False,ArmA II: Operation Arrowhead
33930,166502049,76561198040577164,great,True,0,0,0.5,0,True,False,False,ArmA II: Operation Arrowhead
