appid,recommendationid,author_steamid,review,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,game_title
226667,189017717,76561198296714491,incompetent managers are provoking consumers,False,0,0,0.4761904776096343,0,True,False,False,Crusader Kings II: Sons of Abraham
226667,172287934,76561198049006738,this dlc offers too little to be worth buying i would not bother with it unless you have a strong preference for playing as a jew,False,0,2,0.5,0,False,False,False,Crusader Kings II: Sons of Abraham
226667,130909522,76561197998455758,great and extremely useful dlc adds a lot of variety to the gameplay,True,0,0,0.5,0,True,False,False,Crusader Kings II: Sons of Abraham
226667,130454285,76561198019628384,1010 would borrow money again,True,0,0,0.5,0,True,False,False,Crusader Kings II: Sons of Abraham
226667,122503427,76561198147439638,gives your jew more things to do,True,8,4,0.6326389908790588,0,True,False,False,Crusader Kings II: Sons of Abraham
226667,99639835,76561197984130436,outcry while keep throwing money at pdx does nothing i stopped throwing money at pdx long enough so a negative review is due,False,0,0,0.5,0,True,False,False,Crusader Kings II: Sons of Abraham
226667,99480486,76561198059971467,lets you be jewish so the game can imitate real life,True,0,0,0.5,0,True,False,False,Crusader Kings II: Sons of Abraham
226667,99458280,76561198123305993,weve been trying to reach you about your cars extended warranty,True,0,1,0.5,0,True,False,False,Crusader Kings II: Sons of Abraham
226667,94986115,76561198075886053,based,True,0,0,0.5,0,False,False,False,Crusader Kings II: Sons of Abraham
226667,92832411,76561199069045354,to anyone that isnt interested in playing a nonabrahamic character in terms of religion and wanting to buy this dlc several religions including reformed pagan religions can have holy orders be formed only with this dlc active,True,6,0,0.5980192422866821,0,True,False,False,Crusader Kings II: Sons of Abraham
226667,92405459,76561198036651069,college of cardinals baby,True,0,0,0.5,0,True,False,False,Crusader Kings II: Sons of Abraham
226667,91340170,76561198354087365,pretty much a musthave if you like playing as very religious rulers,True,0,1,0.5,0,False,True,False,Crusader Kings II: Sons of Abraham
226667,85891317,76561198126244146,this dlc allows you to expel the jews from your kingdom whenever you want 1010,True,17,13,0.5638320446014404,0,True,False,False,Crusader Kings II: Sons of Abraham
226667,76203251,76561198151915871,this dlc lets you start with an extra 400 gold 1010,True,0,2,0.5,0,True,False,False,Crusader Kings II: Sons of Abraham
226667,76057179,76561198053229942,adds distinct factions characters and governments the game making ck2 more replayable if you enjoy ck2 its definitely worth buying albeit it is not one of the best dlcs,True,3,1,0.5384615063667297,0,False,False,False,Crusader Kings II: Sons of Abraham
