appid,recommendationid,author_steamid,review,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,game_title
2138330,201958611,76561198255832855,if you dont give this a try youll miss out on something absolutely fucking amazing,True,0,0,0.5,0,False,False,False,Cyberpunk 2077: Phantom Liberty
2138330,201951906,76561198995102710,this is also amazing,True,0,0,0.5,0,True,False,False,Cyberpunk 2077: Phantom Liberty
2138330,201929475,76561199881488419,best game ever,True,0,0,0.5,0,True,False,False,Cyberpunk 2077: Phantom Liberty
2138330,201884792,76561198242176490,dlc foda pra um caral,True,0,0,0.5,0,True,False,False,Cyberpunk 2077: Phantom Liberty
2138330,201873134,76561198986997014,cyberpunk was cool but this is amazingg  one of the best experiences that i had,True,1,0,0.5,0,True,False,False,Cyberpunk 2077: Phantom Liberty
2138330,201869719,76561199145386055,ive played it 3 times now twice on pc and once on ps5 its honestly the greatest gaming experience ive ever had and it slaps so hard and every time i took my girl to the moon,True,1,1,0.5,0,True,False,False,Cyberpunk 2077: Phantom Liberty
2138330,201857756,76561199244758265,absolute fucking cinema,True,2,0,0.5,0,True,False,False,Cyberpunk 2077: Phantom Liberty
2138330,201824434,76561199387507687,must have 1010,True,3,0,0.5,0,True,False,False,Cyberpunk 2077: Phantom Liberty
2138330,201816685,76561198051502110,worth the full price tbh,True,3,0,0.5,0,True,False,False,Cyberpunk 2077: Phantom Liberty
2138330,201803608,76561197999090318,really good i enjoyed the writing and acting much more than the base game a lot of interesting gameplay that is different from the base game thoroughly enjoyable and worth the price tag for sure,True,3,0,0.5,0,True,False,False,Cyberpunk 2077: Phantom Liberty
2138330,201753970,76561198272483468,this dlc as a whole is a masterpiece the storytelling is by far one of the best i have played so far,True,2,0,0.5,0,True,False,False,Cyberpunk 2077: Phantom Liberty
2138330,201753561,76561198062251443,its all fun and games until the polish man decides to sing his heart out and decides to kiss a brick and throws it at you with the feels,True,2,0,0.5,0,True,False,False,Cyberpunk 2077: Phantom Liberty
2138330,201741354,76561199123164140,i found the dlc a better experience than the main game somehow,True,0,0,0.5,0,True,False,False,Cyberpunk 2077: Phantom Liberty
2138330,201736375,76561198123796455,dlc is fucking amazing thats all i have to say,True,0,0,0.5,0,True,False,False,Cyberpunk 2077: Phantom Liberty
2138330,201736182,76561198129096452,,True,0,0,0.5,0,True,False,False,Cyberpunk 2077: Phantom Liberty
2138330,201735730,76561199096971790,is not bad,True,0,0,0.5,0,True,False,False,Cyberpunk 2077: Phantom Liberty
2138330,201730960,76561197965499104,great expansion this is how you do a dlc,True,0,0,0.5,0,True,False,False,Cyberpunk 2077: Phantom Liberty
2138330,201728704,76561198304567654,more cyberpunk content is always welcomed just like the base game everything about the added content is to be loved characters level design quests and story totally recommend this dlc if you liked the base game and i know youll enjoy it  the only small minus is the optimization in dogtown is a bit less good than what night city has going for it but nothing game breaking  enjoy,True,0,0,0.5,0,True,False,False,Cyberpunk 2077: Phantom Liberty
2138330,201692809,76561198038488693,great addition and integration of storytelling to the base game which i thoroughly enjoyed cd projekt red again delivers  it is worth paying full price for this dlc,True,0,0,0.5,0,True,False,False,Cyberpunk 2077: Phantom Liberty
2138330,201683500,76561198071527304,amazing,True,1,0,0.5,0,True,False,False,Cyberpunk 2077: Phantom Liberty
2138330,201672747,76561198350671327,man i just want a single chance to slaughter reed and myers,True,2,2,0.5,0,True,False,False,Cyberpunk 2077: Phantom Liberty
2138330,201603101,76561198025212586,this was amazing i fell deeply for the characters sol especially even deeper for johnny the graphics will continue to impress you the music the story the characters a perfect storm the more i play cyberpunk the more i love it i cant wait to play it again worth,True,0,0,0.5,0,True,False,False,Cyberpunk 2077: Phantom Liberty
2138330,201595869,76561198068102392,great dlc cdpr as usual,True,0,0,0.5,0,True,False,False,Cyberpunk 2077: Phantom Liberty
2138330,201555902,76561198186939953,this is a must buy,True,1,0,0.5,0,False,False,False,Cyberpunk 2077: Phantom Liberty
2138330,201552938,76561198058230708,an incredibly compelling story with loads of new content and areas to explore well done cdpr,True,1,0,0.5,0,True,False,False,Cyberpunk 2077: Phantom Liberty
2138330,201551925,76561198113200674,peak im sorry songbird,True,0,0,0.5,0,True,False,False,Cyberpunk 2077: Phantom Liberty
