appid,recommendationid,author_steamid,review,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,game_title
601150,202065308,76561198141687074,nice return to the good old hack n slash with combos although playing keyboard  mouse is a nightmare so gamepad is a must,True,0,0,0.5,0,True,False,False,Devil May Cry 5
601150,202065261,76561198975723476,vergil is peak,True,0,0,0.5,0,True,False,False,Devil May Cry 5
601150,202063618,76561198876274672,1010 absolutely goated  fking love devil may cry games ,True,1,0,0.5,0,True,False,False,Devil May Cry 5
601150,202057288,76561199812837251,i dont really know how to describe the game but its peak,True,0,0,0.5,0,True,False,False,Devil May Cry 5
601150,202045592,76561199643222009,aku suka mod vergil jadi ustad,True,0,0,0.5,0,False,False,False,Devil May Cry 5
601150,202036973,76561199105485381,pretty fun 1010,True,0,0,0.5,0,True,False,False,Devil May Cry 5
601150,202034812,76561198325050515,cool 3 white haired men trying to solve their family problems with swords,True,1,0,0.5,0,True,False,False,Devil May Cry 5
601150,202034664,76561199180353246,weve been blessed with the leaf off the tree cause on it we see the peak reign overall great game takes some time to get accustomed to every character but after spending about 20 minutes learning the most basic combos holy christ youre deleting enemies 10010 game highly reccommend,True,0,0,0.5,0,True,False,False,Devil May Cry 5
601150,202031365,76561198279917931,dope gamwe,True,0,0,0.5,0,True,False,False,Devil May Cry 5
601150,202022398,76561198807382260,           we go jim       ,True,1,1,0.5,0,True,False,False,Devil May Cry 5
601150,202020903,76561199060810471,fire,True,0,0,0.5,0,True,False,False,Devil May Cry 5
601150,202018054,76561198239709382,sexy ahh game,True,1,0,0.5,0,True,False,False,Devil May Cry 5
601150,202017133,76561199559427224,,True,1,0,0.5,0,True,False,False,Devil May Cry 5
601150,202011798,76561199077028896,power,True,0,0,0.5,0,True,False,False,Devil May Cry 5
601150,202005018,76561199133790707,peak,True,0,0,0.5,0,True,False,False,Devil May Cry 5
601150,202004714,76561197976698639,v gud,True,0,1,0.5,0,True,False,False,Devil May Cry 5
601150,201998959,76561199111265536,greatest dmc ever,True,0,0,0.5,0,True,False,False,Devil May Cry 5
601150,201997918,76561199130997046,80 of the mission designs are not memorable at all just walking through corridors and areas killing demons rinse and repeat the bosses are good when playing as vergil the game has this weird constantly alone feeling that diverts me from playing as him cause when playing as him theres no cutscenes good game otherwise,True,0,0,0.5,0,True,False,False,Devil May Cry 5
601150,201968077,76561199019420951,bill cosby approved,True,0,0,0.5,1,True,False,False,Devil May Cry 5
601150,201958963,76561198161839239,gud game,True,0,0,0.5,0,True,False,False,Devil May Cry 5
601150,201954204,76561198170094093,motivated,True,0,0,0.5,0,True,False,False,Devil May Cry 5
601150,201942092,76561198886550628,cool shit stuff,True,0,0,0.5,0,True,False,False,Devil May Cry 5
601150,201938825,76561198083899609,another masterpiece this was one of my favourite games ive played in a while now game looks amazing and runs like a dream at 2k ultra 165fps even on my dog s pc if you love hack and slash this is the game for you  i will say though that the controls on keyboard and mouse are so much better then the other dmc games on pc that being said there pretty good just need to get use to them,True,0,0,0.5,0,True,False,False,Devil May Cry 5
601150,201937186,76561199087669811,goated game goated fandom,True,0,0,0.5,0,True,False,False,Devil May Cry 5
601150,201932193,76561199815105114,nero looks hot recommend this game,True,0,0,0.5,0,True,False,False,Devil May Cry 5
601150,201928564,76561198308876444,top gameplay slash and best sountrack and final bosses history videogames,True,0,0,0.5,0,True,False,False,Devil May Cry 5
601150,201902978,76561198174146035,loved this game series but realized wayyyyyy too late that playing on pc without a controller is so vastly different you need a controller to play effectively and the pc controls feels super clunky on this game otherwise still just the same as other dmc titles if you liked dmc 3 and 4 youll likely like this one as well,True,0,0,0.5,0,True,False,False,Devil May Cry 5
601150,201898562,76561199592834400,peak,True,0,0,0.5,0,False,False,False,Devil May Cry 5
601150,201898373,76561198872142418,noice,True,0,0,0.5,0,True,False,False,Devil May Cry 5
601150,201891897,76561199124173497,50 frame at 144p fire hell,True,0,0,0.5,0,True,False,False,Devil May Cry 5
601150,201887035,76561199884690789,its tuff,True,0,0,0.5,0,True,False,False,Devil May Cry 5
601150,201885297,76561198045077362,what can i say its devil may cry dmcv is a masterclass in action game design stylish fun and full of high octane action fun and a good time for fans new and old i originally played the game back on ps4 which was an excellent version now owning the pc version this game is so well optimized if have a high end card mid or low this game will not only look amazing it runs amazing i have relatively low end rtx 2050 laptop and it runs like a dream do yourself a favor buy dmcv,True,0,0,0.5,0,False,False,False,Devil May Cry 5
601150,201876674,76561199218393182,brooooooo there wasnt a devil and no one cried,True,0,1,0.5,0,True,False,False,Devil May Cry 5
