appid,recommendationid,author_steamid,review,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,game_title
249050,201601410,76561197966550902,its an interesting game but it feels like playing a board game at your friends house and they dont explain the rules to you,True,0,0,0.5,0,False,False,False,Dungeon of the Endless
249050,201409707,76561198413442238,some friends wanted me to play this and i will say it was interesting the 8bit rougelike genre is something i enjoy so this game was fun though the runs can feel like they are going well until one slip up or random generation that throws everything off other than that will be playing this some more offandon between other games,True,0,0,0.5,0,True,False,False,Dungeon of the Endless
249050,201320320,76561198047609043,very fun game youll have to learn how to have a good economy and what character is better in what comp but it pays off really well of course as any roguelike things can get sour really quickly so dont get too discouraged,True,2,0,0.5555555820465087,0,True,False,False,Dungeon of the Endless
249050,201308054,76561197975829432,i love playing this title when im sick the games take a good long time and it always helps the illness seem to pass more quickly it has grimly beautiful visuals paired with a nice soundtrack,True,0,0,0.5,0,True,False,False,Dungeon of the Endless
249050,200992214,76561198077061484,quite fun with quirky characters and a lot of synergy stuff available for the sweet minmaxing  for the price i would definitely recommend,True,1,0,0.5145630836486816,0,False,False,False,Dungeon of the Endless
249050,200977241,76561198040460407,not fun or engaging for me i dont like the block graphics and game play loop is pretty boring also not happy with the privacy and data collection issues,False,3,0,0.532650887966156,0,False,False,False,Dungeon of the Endless
249050,200896675,76561198010989290,unique td multiplayer crashes often but single player is super fun,True,1,0,0.5119522213935852,0,True,False,False,Dungeon of the Endless
249050,200877763,76561198194482591,it can get a bit frustrating when you invest resources on one side of the map to defend your structures just to discover that the exit is on the complete other side and you dont have enough dust to power the new rooms maybe its just not my cup of tea but the art style and composition is really nice,True,1,0,0.5238095521926879,0,False,False,False,Dungeon of the Endless
249050,200664375,76561197987381835,could be a great game the concept art game loop are great but that rng just messes with your progress time wasting game,False,2,0,0.550561785697937,0,True,False,False,Dungeon of the Endless
249050,200260289,76561198039768923,price is great game is fun and exciting,True,0,0,0.5,0,True,False,False,Dungeon of the Endless
249050,200162886,76561198029644275,unbalanced,False,0,0,0.4782608747482299,0,False,False,False,Dungeon of the Endless
249050,200085275,76561198097603209,such an amazing arcadey and roguelike game with small rpg elements,True,2,0,0.5416666865348815,0,True,False,False,Dungeon of the Endless
249050,199815871,76561198048738151,this game is good all the people who say it isnt are bad,True,1,0,0.477009892463684,0,True,False,False,Dungeon of the Endless
249050,199487507,76561198016100920,random fun,True,0,0,0.5,0,True,False,False,Dungeon of the Endless
249050,199146646,76561198046956916,nice roguelike but suffers from random crashes a run can span over multiple hours but there is no backup if the game crashes,False,5,0,0.509442925453186,1,False,False,False,Dungeon of the Endless
249050,198964355,76561198800047538,multiplayer buggy chance to lose a save game randomly while changing floors,False,3,0,0.5121798515319824,0,False,False,False,Dungeon of the Endless
249050,198319831,76561198044660782,simple resource management defense top down dungeon crawling gameplay with both roguelike and roguelite elements unique and nothing quite like it if youve got the itch for something different,True,1,0,0.52173912525177,0,True,False,False,Dungeon of the Endless
249050,198241136,76561197968699211,"one night we decided three of us would play and man we had a blast it was just the right amount of strategy and action and fun   then the entire thing crashed and we lost hours of progress never again never ever again i can still hear the disappointment in my friends voices no save nothing just game over because something happened between the connections so no save your money",False,18,5,0.5428119897842407,0,True,False,False,Dungeon of the Endless
249050,197837047,76561197969812413,challenging herotower defence dungeon crawler roguelite hybrid with an incredible ost,True,2,0,0.5164835453033447,0,False,False,False,Dungeon of the Endless
249050,197711702,76561198009092349,this game keeps calling itself a roguelike to cover up how badly its made the controls are clunky everything feels random and out of focus in a bad way its like they used hard as an excuse for lazy design,False,4,1,0.4219356179237365,0,True,False,False,Dungeon of the Endless
249050,197530691,76561198042929083,amazing coop game,True,0,0,0.5,0,False,False,False,Dungeon of the Endless
249050,197370074,76561198042049921,its fun and simple,True,0,0,0.4835164844989776,0,False,False,False,Dungeon of the Endless
249050,197335612,76561198004630611,very good game,True,0,0,0.5,0,True,False,False,Dungeon of the Endless
249050,196809556,76561198013259904,harder than calculus why do i keep coming back to play this game,True,1,1,0.5,0,True,False,False,Dungeon of the Endless
249050,196752177,76561197973225361,although i never beaten the game its one i keep coming back to it perfectly mixes elements of a tower defense and a rpg having me constantly say just one more try   till its 3 in the night   and ive been playing for the last 6 hours  update i finally managed to finish a round and wouw is the ending a letdown however i still feel the journey makes this game worth playing,True,2,0,0.52173912525177,0,True,False,False,Dungeon of the Endless
249050,196496211,76561198079481210,yep i beat it my balls hurt and i might cry games great 1010 would fuck a dog before trying the other pods though,True,0,1,0.5,0,False,False,False,Dungeon of the Endless
249050,196380312,76561198110320442,great fun for playing occasionally,True,1,0,0.4835164844989776,0,True,False,False,Dungeon of the Endless
249050,196154652,76561198101108779,good game decent replayability and good gameplay loop,True,0,0,0.5,0,True,False,False,Dungeon of the Endless
249050,196107843,76561198120388020,excellent innovative and fun nice mashup of turn based and tower defense challenging and if you give it a bit of time and learn the mechanics well it becomes a great game that you will want to play over many times amplitude is great and this is definitely an oddball in their catalog but i really enjoy this game,True,0,0,0.5,0,True,False,False,Dungeon of the Endless
249050,195744725,76561199261157988,best game with freinds,True,0,0,0.5,0,False,False,False,Dungeon of the Endless
