appid,recommendationid,author_steamid,review,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,game_title
1983260,201499566,76561198047675791,amazing story game with great music fantastic game to get into has a really unique magic system well worth a buy,True,1,0,0.5,0,False,False,False,Dungeons of Hinterberg
1983260,201472078,76561198165248526,"this was a super fun unexpected joy of a cozy game while there are demons to fight puzzles to solve and friends to make i still found dungeons a relaxing chill game with a great vibe   combat is fluid though the camera angles can get a little wonkyannoying at times 2 of the later dungeons felt a tad rushed those are quibbles with a wonderful game",True,0,0,0.5,0,True,False,False,Dungeons of Hinterberg
1983260,201357842,76561198267196435,i got this game from humble and i have to say i was pleasantly surprised definitely recommend,True,1,0,0.5,0,False,False,False,Dungeons of Hinterberg
1983260,201346042,76561199011428091,absolutely beautiful game the art style the music the fighting and how much you can learn with charms and add ons the dungeons the points of interest where you can just rest and the excellent people you meet you can be ugly to people if you want but why its so much nicer to make friends thanks for the game devs i adore it,True,1,0,0.5,0,False,False,False,Dungeons of Hinterberg
1983260,201318722,76561197989090382,pretty simple and straightforward mechanics but it can be annoying how limiting each time period in town is took a while to realize how some of the relationship and gifts work,True,0,0,0.5,0,False,False,False,Dungeons of Hinterberg
1983260,201297323,76561198043193444,great game but not a long game  the split between the actual vacation time the character is going through with the fantastical elements of the dungeon delving actually made me feel like i was taking a break myself the game has a nice pace and rewards you for taking your time and really enjoying it  910,True,0,1,0.5,0,False,False,False,Dungeons of Hinterberg
1983260,201225333,76561199506485985,i love the coziness of this game truly the backgrounds are stuning and the use of magic  puzzles is really fun the battles are not really difficult so its super fun for people that arent that good with battle systems but combat is still good and anti capitalist anti masive turism anti resources exploiment narrative 1010,True,1,0,0.5,0,True,False,False,Dungeons of Hinterberg
1983260,201220426,76561198003024295,its a solid game nice combo of persona and zelda in indie style,True,1,0,0.5,0,True,False,False,Dungeons of Hinterberg
1983260,200835803,76561197971027083,"55 great game   playing on easy for fun and love it its very chill lite version of twilight princess the art and style are very fun the sense of exploration is great unexpectedly has very cool and unique story that makes you really think  keeping it vague its got some larger discussions about what being some dungeon hunter means not just for themselves but people and society",True,1,0,0.5,0,True,False,False,Dungeons of Hinterberg
1983260,200412091,76561198046500339,1010 peak summer chill game,True,1,0,0.5,0,True,False,False,Dungeons of Hinterberg
