appid,recommendationid,author_steamid,review,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,game_title
1593500,202073314,76561198858741434,the best game ever,True,0,0,0.5,0,True,False,False,God of War
1593500,202071250,76561198040338741,7710 lowkey peak souls clone ds3 type shit but much more storyfocused great sonyplaystation type game that is needed on steam,True,0,0,0.5,0,True,False,False,God of War
1593500,202063018,76561198199682538,,True,0,0,0.5,0,True,False,False,God of War
1593500,202056851,76561199750570664,good,True,0,0,0.5,0,True,False,False,God of War
1593500,202056738,76561199129851964,good game but god awful balance for the hardest difficulty,True,0,0,0.5,0,False,False,False,God of War
1593500,202054409,76561198166328067,op,True,0,0,0.5,0,True,False,False,God of War
1593500,202044527,76561198169531294,great game loved the design and enjoyed the gameplay very much so far i recommend it,True,0,0,0.5,0,False,False,False,God of War
1593500,202043793,76561198321433796,love everything about the game yes even if the part where spoileratreus is being a problem childspoiler grinds my gears it was necessary for the character growth ultimately paying it off with that ending  9410,True,0,0,0.5,0,True,False,False,God of War
1593500,202040511,76561198096185186,epic chaos brutal combat unforgettable boss fights and a story that made kratos a legend nearly 20 years later its still one of the best action games ever,True,0,0,0.5,0,True,False,False,God of War
1593500,202035757,76561198134788429,one of my all time favourites,True,0,0,0.5,0,True,False,False,God of War
1593500,202034134,76561198335904838,this game was a masterpiece the cutscenes were actually sick i dont know what else to say its just good,True,0,0,0.5,0,True,False,False,God of War
1593500,202029902,76561199533719239,dis game be good,True,0,0,0.5,0,False,True,False,God of War
1593500,202019121,76561198082824147,ive already played this on ps5 and dont quite feel ready for another playthrough yet but trust me this is worth the purchase in my opinion this improved on the god of war franchise significantly and honestly both of the games in the reboot so far are the best of the series as a whole,True,0,0,0.5,0,False,False,False,God of War
1593500,202017359,76561199067087746,,True,0,0,0.5,0,False,False,False,God of War
1593500,202015626,76561198054900407,the best hdr implementation hardly see it happen on pc amazing voice acting and great story,True,0,0,0.5,0,False,False,False,God of War
1593500,202014236,76561198022175415,from playing the original god of war on the ps2 to experiencing this on modern hardware i can happily say the devs have managed to keep the same atmosphere something many other games have failed to do it feels nostalgic yet delivers a fresh new story with great graphics i highly recommend it even as a starting point for god of war if you havent played the older ones as the story is truly captivating,True,0,0,0.5,0,False,False,False,God of War
1593500,202010589,76561198076589527,boyh,True,0,0,0.5,0,True,False,False,God of War
1593500,202003424,76561198424018656,one of the best combat systems ever the god of war series has always had an outstanding gameplay and this does not disappoint all the exploration quests the atmosphere  its an absolute must play,True,0,0,0.5,0,False,False,False,God of War
1593500,202002143,76561199472403023,there are consequences to making a shitty port,False,1,0,0.5,0,True,False,False,God of War
1593500,201990053,76561198165284759,great game recommend everyone,True,0,0,0.5,0,False,False,False,God of War
1593500,201988381,76561198011987887,910,True,0,0,0.5,0,True,False,False,God of War
1593500,201982163,76561198271786554,boy,True,0,0,0.5,0,True,False,False,God of War
1593500,201981281,76561199786451578,boy,True,0,0,0.5,0,True,False,False,God of War
1593500,201974791,76561198440036191,,True,0,0,0.5,0,True,False,False,God of War
1593500,201973683,76561199864400031,fantastic game must try,True,0,0,0.5,0,True,False,False,God of War
