appid,recommendationid,author_steamid,review,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,game_title
747350,201708870,76561199262372772,vr didnt really add much to the game for me tbh,False,0,0,0.5,0,True,False,False,Hellblade: Senua's Sacrifice VR Edition
747350,201529076,76561198072802523,amazing story,True,0,0,0.5,0,True,False,False,Hellblade: Senua's Sacrifice VR Edition
747350,198068154,76561198075704822,i wasnt able to experience the vr but i did want to leave a review for the game itself which is fantastic and if you like senuas sacrifice hellblade ii is even better,True,0,0,0.5,0,True,False,False,Hellblade: Senua's Sacrifice VR Edition
747350,196752079,76561198079726114,i purchased this game after playing hellblade 2 and enjoying it  i was pleasantly shocked that there was a vr version as well  after playing a good bit of it the last few days all i have to say is wow  this is what ive been looking for from vr for ages not the total immersive experience just the freedom to see everything around me in vr while playing with a controller in a chair  its an excellent game that looks great even in 2025 and even better in vr,True,0,0,0.5,0,True,False,False,Hellblade: Senua's Sacrifice VR Edition
747350,195603697,76561198930679205,interesting story and the combat was exciting if a bit simple  would have like to have been able to skip some of the cut scenes that i had already watched,True,0,0,0.5,0,True,False,False,Hellblade: Senua's Sacrifice VR Edition
747350,195408810,76561199572033598,hellblade senuas sacrifice vr edition takes an already intense and emotional journey and makes it even more powerful playing in virtual reality adds a deep personal layer of immersion that pulls you directly into senuas fractured world every whisper shadow and hallucination feels right there with you,True,0,0,0.5,0,False,False,False,Hellblade: Senua's Sacrifice VR Edition
747350,195375858,76561198297994240,a truly beautiful experience some folks would say its a bad vr port to that id agree there are some rough edges but the perspective of standing next to senua throughout this story more than makes up for that,True,0,0,0.5,0,False,False,False,Hellblade: Senua's Sacrifice VR Edition
747350,192836964,76561198058389690,i only played this game in vr and boy am i happy thats the case you are thrown into a crazy world and the vr immersion makes everything feel much more real my only negative experience with the game was that the trials on the island were a bit too long for my taste solid 910 recommended,True,0,0,0.5,0,True,False,False,Hellblade: Senua's Sacrifice VR Edition
747350,192090802,76561197981308688,avoid this version its not a vr game playing this is pretty much just a flat screen using a controller or keyboard and mouse    i will leave the cat here so that everybody who passes by can pet it and give it a thumbs up and awards 　　　 　　　　 　　　 　　 　　  l 　 　　 　 x 　　 　 　　　 　  　　　 　 　　  　 　 　　　　 　　　 　　 　  　,False,9,0,0.5325368046760559,0,False,False,False,Hellblade: Senua's Sacrifice VR Edition
747350,190932332,76561198033236100,amazing game and amazing acting and some scenery makes it perfect for vr  it was quite intense at times some effects i havent seen in other games before but they work so well too bad the new one doesnt seem to have vr support the graphics are a bit dated now but id say its still decent especially the characters it is now one of my favorite vr titles,True,1,0,0.5238095521926879,0,True,False,False,Hellblade: Senua's Sacrifice VR Edition
747350,188026773,76561198087491748,garbage port  cant play with only controllers  of crappy game about walking,False,2,2,0.46466526389122,0,False,False,False,Hellblade: Senua's Sacrifice VR Edition
747350,182544017,76561199202377047,fantastic 3rd person vr amazing graphics good combat dank af subject matter see sea of corpses battle area made living by senuas psychosis im buying senua2 asap,True,2,1,0.5315582156181335,0,True,False,False,Hellblade: Senua's Sacrifice VR Edition
747350,182145394,76561198175970197,wow  what a pleasant surprise to find this game in vr   i thought it was a recent release but then realised it came out in 2018  wish i found it sooner almost 2 hrs into it but can say this is right up there in the top 3 vr games i have played  i wish more games would port over to vr in the same format  game play graphics sound are all amazing  well done ninja theory  to all the people complaining about controls just use an xbox controller  store page says that is what is supported,True,1,0,0.5199999809265136,0,True,False,False,Hellblade: Senua's Sacrifice VR Edition
