appid,recommendationid,author_steamid,review,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,game_title
550,202057039,76561199435714994,pretty good but also theres a mention of a barbeque bacon burger so this game is a 2010,True,0,0,0.5,0,True,False,False,Left 4 Dead 2
550,202055566,76561198097739197,banger,True,0,0,0.5,0,False,False,False,Left 4 Dead 2
550,202053451,76561198068875407,good game playing as a zombie is neatly done and most importantly the online servers are stable even with my bad connection,True,0,0,0.5,0,True,False,False,Left 4 Dead 2
550,202052686,76561198349425524,hurray,True,0,0,0.5,0,True,False,False,Left 4 Dead 2
550,202051428,76561199521347027,this was a childhood game of mine im upset that i couldnt find it on console but im glad i finally have a pc to play this on best game that checks all of my boxes i would suggest this game to anyone that enjoys anything storydriven or firstperson shooters,True,0,0,0.5,0,True,False,False,Left 4 Dead 2
550,202048070,76561199149738003,classic,True,0,0,0.5,0,True,False,False,Left 4 Dead 2
550,202043941,76561199080262939,coachussy,True,0,0,0.5,1,True,False,False,Left 4 Dead 2
550,202038971,76561199546324471,it is good and i love the usage of guns and guns and cool shit,True,0,0,0.5,0,True,False,False,Left 4 Dead 2
550,202035344,76561198106959179,the og of the og goated game see tank run,True,0,0,0.5,0,True,False,False,Left 4 Dead 2
550,202035007,76561199528167908,tis gaem is peak,True,0,0,0.5,0,True,False,False,Left 4 Dead 2
550,202034876,76561198427494986,old school game lots of memories with this,True,0,0,0.5,0,True,False,False,Left 4 Dead 2
550,202034745,76561199481522285,cool,True,0,0,0.5,0,True,False,False,Left 4 Dead 2
550,202034633,76561199280962129,this game is just fucking insane and i love it both gameplay lore and workshop are just awesome,True,0,0,0.5,0,True,False,False,Left 4 Dead 2
550,202031322,76561198173855962,good game fun,True,0,0,0.5,0,True,False,False,Left 4 Dead 2
550,202028384,76561198112535340,classic,True,0,0,0.5,0,False,False,False,Left 4 Dead 2
550,202027885,76561199386133606,good,True,0,0,0.5,0,True,False,False,Left 4 Dead 2
550,202025662,76561199091959330,yes,True,0,0,0.5,0,False,False,False,Left 4 Dead 2
550,202025316,76561198880301161,god bless the workshop,True,0,0,0.5,0,True,False,False,Left 4 Dead 2
550,202023831,76561198031762265,good for its time,True,0,0,0.5,0,False,False,False,Left 4 Dead 2
550,202023468,76561199209854465,played this shit ever since i was a kid back in elementary school on xbox 360 this game really is a masterpiece that never gets old,True,0,0,0.5,0,True,False,False,Left 4 Dead 2
550,202023325,76561199125110651,walla walla sweet onion3,True,0,0,0.5,0,False,False,False,Left 4 Dead 2
550,202022517,76561198101691823,teto is a thing,True,0,0,0.5,0,True,False,False,Left 4 Dead 2
550,202018773,76561199091581699,w game,True,0,0,0.5,0,True,False,False,Left 4 Dead 2
550,202017433,76561198969281304,b,True,0,0,0.5,0,True,False,False,Left 4 Dead 2
550,202017295,76561199009997988,love modding ts,True,0,0,0.5,0,True,False,False,Left 4 Dead 2
550,202016306,76561199860694441,childhood like joy,True,0,0,0.5,0,True,False,False,Left 4 Dead 2
550,202015974,76561199123033880,"greatest zombie game ever made valve pls give us a sequel",True,0,0,0.5,0,False,False,False,Left 4 Dead 2
550,202015761,76561199636745598,good game,True,0,0,0.5,0,True,False,False,Left 4 Dead 2
550,202015696,76561199578328271,left 4 dead 3 when       never,True,0,0,0.5,0,True,False,False,Left 4 Dead 2
550,202015624,76561199852202231,perfect game to play when your bored,True,0,0,0.5,0,True,False,False,Left 4 Dead 2
550,202015316,76561199220236939,good,True,0,0,0.5,0,True,False,False,Left 4 Dead 2
550,202015002,76561199247985498,its good,True,0,0,0.5,0,True,False,False,Left 4 Dead 2
550,202014360,76561199013734979,warren poops himself,True,0,0,0.5,0,True,False,False,Left 4 Dead 2
550,202013965,76561199554382533,dawdaswdsa,True,0,0,0.5,0,True,False,False,Left 4 Dead 2
550,202012873,76561199886809963,good,True,0,0,0.5,0,True,False,False,Left 4 Dead 2
550,202012348,76561199028978285,one of my favorite games of all time one of the best in its genre,True,0,0,0.5,0,True,False,False,Left 4 Dead 2
550,202011898,76561199588965750,play this game when ur geeked fr,True,0,0,0.5,0,False,False,False,Left 4 Dead 2
550,202008814,76561199068139415,the game is so fun the mods are very fun to use 1010 game,True,0,0,0.5,0,True,False,False,Left 4 Dead 2
550,202007422,76561199153237781,gay,True,0,0,0.5,0,True,False,False,Left 4 Dead 2
550,202006776,76561199882437750,great coming back to this game love it,True,0,0,0.5,0,True,False,False,Left 4 Dead 2
550,202005951,76561199636720977,l4d2 is a awesome game to play even when modding it too,True,0,0,0.5,0,True,False,False,Left 4 Dead 2
550,202005941,76561199821535785,"dream blunt rotation ultrakill bot nick guts rochelle hatsune miku ellis futa deer mommy coach",True,0,0,0.5,0,True,False,False,Left 4 Dead 2
550,202001540,76561198361208085,muy bueno,True,0,0,0.5,0,True,False,False,Left 4 Dead 2
