appid,recommendationid,author_steamid,review,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,game_title
22100,200763018,76561198385032135,i made gigachad hitler and the game crashed,False,3,2,0.5168817043304443,1,False,False,False,Mount & Blade
22100,200628454,76561198078595402,ah yes calradia the swadians remind me much of fighting off clannfears at the gates of oblivion they fight lik received couched lance damage thoronir has been knocked unconscious,True,0,0,0.5,0,False,False,False,Mount & Blade
22100,200615338,76561197970539229,the first game i ever played that had a bit of an early access style to it i guess  i may only have a few hours on steam but hundreds of hours before it came here  one of the best sandbox games of all time,True,1,0,0.5238095521926879,0,True,False,False,Mount & Blade
22100,200456816,76561198190103765,play war band instead,False,0,0,0.5,0,True,False,False,Mount & Blade
22100,200249022,76561199871038086,this game is one of my favorite ever,True,0,0,0.5,0,True,False,False,Mount & Blade
22100,200004537,76561198142739176,its a great game i love taking on new people in my army training them seeing them grow i love that you can take over towns and castles i love that you can lead your own army and that you can even create your own faction its definitely challenging keeping your army happy as you grow bigger,True,0,0,0.5,0,True,False,False,Mount & Blade
22100,199888212,76561197993703113,not a bad game by any means but literally no reason to own this when mount and blade warband exists its basically the same game but with many improvements and features added in,False,4,0,0.5628431439399719,0,True,False,False,Mount & Blade
22100,199700354,76561199712871383,good game,True,0,0,0.5,0,True,False,False,Mount & Blade
22100,199402555,76561199503577216,i really like the game  however  i stopped to play this game because of 4 th time  i have lost my 2 months saved game due to run time error unfortuntly also its hard to get support from the game devolepers,False,1,1,0.4854331314563751,0,True,False,False,Mount & Blade
22100,199345534,76561198302975129,good game,True,0,0,0.5,0,True,False,False,Mount & Blade
22100,199269502,76561199659662803,good game,True,0,0,0.5,0,True,False,False,Mount & Blade
22100,199257013,76561198259097054,i have played this game,True,4,1,0.5579710006713867,0,False,False,False,Mount & Blade
22100,199238215,76561199800934287,the game closes on its own as soon as i make the charecter,False,1,1,0.511312186717987,0,True,False,False,Mount & Blade
22100,198952057,76561198108620488,i love the detail,True,0,0,0.5,0,True,False,False,Mount & Blade
22100,198645682,76561199038350854,dnya klcmdan korktu ve bymemem iin elinden geleni yapt,True,3,0,0.5387272238731384,0,True,False,False,Mount & Blade
22100,198555694,76561199235421564,this game is truly a masterpiece even in 2025,True,1,0,0.5,0,True,False,False,Mount & Blade
22100,196803754,76561199012979424,one of the best games ive ever played,True,3,0,0.5473250746726989,0,True,False,False,Mount & Blade
22100,196418521,76561198007718244,god game now i rule the wold yay,True,2,0,0.4979253411293029,0,True,True,False,Mount & Blade
22100,195466193,76561198050394125,,True,0,0,0.4761904776096343,0,True,False,False,Mount & Blade
22100,194623680,76561198159255521,horribly clunk and jank pure jankness galore,False,0,0,0.5,0,False,False,False,Mount & Blade
22100,192946835,76561198083631243,good game,True,0,0,0.5,0,True,False,False,Mount & Blade
22100,192525803,76561197990833244,yea,True,0,0,0.5,0,True,False,False,Mount & Blade
22100,192145510,76561197993586691,buy mount and blade warband its a strictly better version of this game that made this one obsolete which does not mean that this one is bad,False,6,0,0.4899593293666839,0,True,False,False,Mount & Blade
22100,191486314,76561198021981688,great game amazing entery and start of now a franchise i plaid it as a kid for 100s of ours i am glad that i bought it on steam as well,True,0,0,0.5,0,False,False,False,Mount & Blade
22100,190042488,76561197974644026,mount  blade offers a compelling medieval power fantasy with remarkable freedom for its era but its continued existence on steam highlights the contradiction of digital ownershipyouve purchased the right to pretend to be powerful in a world where actual control slips further from your grasp with each platform update,True,0,0,0.5,0,True,False,False,Mount & Blade
22100,188072632,76561199253207065,my spine hurts,True,0,0,0.4844290912151336,0,True,False,False,Mount & Blade
22100,187913505,76561199096615917,extemely good game,True,0,0,0.4844290912151336,0,True,False,False,Mount & Blade
