appid,recommendationid,author_steamid,review,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,game_title
505230,201998876,76561199192776725,empathy is a weakness  sympathy is your destruction,True,0,0,0.5,0,True,False,False,Pathologic
505230,201909344,76561198125305035,insane,True,0,0,0.5,0,False,False,False,Pathologic
505230,201853707,76561198034117438, ,False,0,0,0.4646017849445343,0,False,False,False,Pathologic
505230,201796466,76561198093365160,the ground asks me for blood everyday i go through trash bins for empty bottles every time i walk by when a fly buzzes in my ear i must follow it to the source i live in fear of the day my pet bull speaks to me a masterpiece,True,0,0,0.5,0,True,False,False,Pathologic
505230,201792746,76561198831395264, ,True,2,0,0.5486935973167419,0,True,False,False,Pathologic
505230,201782424,76561198106019270,im glad that some others enjoy this game but i couldnt get into it  it was cryptic difficult to survive and hard to understand  not for me personally,False,2,1,0.5269286632537841,0,False,False,False,Pathologic
505230,201657393,76561198230141172,miserable awful horrible game that nobody should ever play unless you wanna be pretentious about how games are art ie its incredible,True,2,1,0.529042363166809,0,True,False,False,Pathologic
505230,201624884,76561198072523401,1010,True,0,0,0.4736842215061187,0,True,False,False,Pathologic
505230,201597652,76561198061742770,hbomb sent me,True,0,0,0.4794520437717437,0,True,False,False,Pathologic
505230,201433944,76561198340166339,the game runs pretty smoothly and the story is amazing gameplay although i enjoyed it its not for everybody you might find yourself having to crank down the difficulty a bit but nothing that takes away from experience the game provides highly recommended,True,0,0,0.5,0,True,False,False,Pathologic
505230,201430489,76561199012073468,i have a feeling that this game is going to hurt me and im scared,True,0,1,0.5,3,True,False,False,Pathologic
505230,201216103,76561198022028861,very unique game,True,1,0,0.5238095521926879,0,True,False,False,Pathologic
505230,201154758,76561199169300091,"insanely good game worthy successor of the first one hard and punishing at first theres much to learn about the game mechanics extremely immersive and fascinating with a crazy rich story and spinechilling musics perfectly placed in crucial moments of the game  a little extra the protagonist is a true chad",True,2,0,0.5238095521926879,0,True,False,False,Pathologic
505230,201129977,76561198060170164,kino,True,2,0,0.5435684919357299,0,True,False,False,Pathologic
505230,201088995,76561199405002272,its very spooky and i love the vibes of this game very fun,True,0,0,0.5,0,True,False,False,Pathologic
505230,200928874,76561198046285644,masterpiece,True,1,0,0.5199999809265136,0,False,False,False,Pathologic
505230,200913556,76561198069989538,people are just talking to me all weird theres some giant scary pigeon priest i dont know where i am or where to go or even what im supposed to do but i know i can do it  its driving me insane  1010 horror game dont be afraid to be afraid,True,1,0,0.5199999809265136,0,True,False,False,Pathologic
505230,200898206,76561198170093227,whaddup onyon,True,0,0,0.5,0,True,False,False,Pathologic
505230,200727680,76561199445689619,very good but the no hugging punishment is so stupid,True,1,0,0.5,0,True,False,False,Pathologic
505230,200707544,76561198271938541,painful,True,2,0,0.5238095521926879,0,True,False,False,Pathologic
505230,200601089,76561198155093633,graal simulator,True,1,0,0.5,0,True,False,False,Pathologic
505230,200291179,76561199516561947,this game wants you to suffer its not just a hard game its a game designed in ltierally everything to make you quit,True,2,0,0.4961831867694854,0,True,False,False,Pathologic
505230,200264772,76561198063681602,very fun and great visuals but also quite frustrating and soul crushing at times,True,1,0,0.5,0,True,False,False,Pathologic
505230,200195645,76561198115325892,genuinely one of the best and most unique gaming experiences ive ever had not for the faint of heart very excited for patho 3,True,1,0,0.5,0,True,False,False,Pathologic
505230,200127658,76561198083165797,children should give me more eggs,True,2,0,0.5454545617103576,0,True,False,False,Pathologic
505230,199518314,76561198099313720,playing this game is like willingly signing up to be punched in the face and then saying thank you i get frustrated almost every time i play and yet i cant stop something about it really has its plaguey little claws stuck in my head probably would also recommend buying the gun asap i havent after nearly 17 hours of playing and its rough out here,True,3,1,0.5227818489074707,0,True,False,False,Pathologic
505230,199512767,76561198062046086,this is not a place of honor no highly esteemed deed is commemorated here what is here is dangerous and repulsive this is a warning about danger,True,1,0,0.5172282457351683,0,True,False,False,Pathologic
505230,199505613,76561198359596276,by mother boddho im tweaking off the 30 medrel you prescribed have pity on me,True,1,0,0.5119322538375854,0,True,False,False,Pathologic
505230,199460617,76561199043212403,saquen de una vez las 2 campaas que faltan el mundo lo necesita,True,0,0,0.5,0,True,False,False,Pathologic
505230,199344801,76561198189044131,im supposed to take the path of logic but god am i not logical,True,2,2,0.491925686597824,0,True,False,False,Pathologic
505230,199275897,76561198088217136,if you like games like fear and hunger this is pretty much what youll get from a 1st person experience if you get infected just restart the day dont even bother curing that shit,True,1,0,0.4761904776096343,0,True,False,False,Pathologic
505230,199250944,76561198078726680,isnt quite what im looking for has all the elements i want in a game like this but it was just convoluted with boring mechanics,False,1,2,0.4696817696094512,0,True,False,False,Pathologic
505230,198455890,76561198872398699,i got booty touched quite a bit,True,2,1,0.5,0,True,False,False,Pathologic
505230,198425309,76561198078586519,decent reading comprehension is a must have in order to fully enjoy the narrative being presented to you and what is here  is something so strange so clever and just so masterfully done  this is not a game that will grant you the ever so satisfying feeling of a power fantasy it will try to break you and as a matter of fact its not even fun to play  the steppe is my home now,True,8,2,0.5524999499320983,0,True,False,False,Pathologic
505230,198095646,76561198273385022,what the fuck is this game dude,True,2,0,0.4823943674564361,0,True,False,False,Pathologic
505230,198005724,76561197989993516,an amazing and stressful roller coaster philosophical and confusing different and weird very very memorable 1010,True,1,0,0.5,0,True,False,False,Pathologic
505230,197932666,76561198159271257,if you havent unlocked imago i dont want to hear it i am gatekeeping the game is about pushing through despite the horrors the fatigue and the doubts it shouldnt feel good it should feel right,True,1,0,0.5,0,True,False,False,Pathologic
505230,197671978,76561197964617340,1010 would doctor again,True,1,0,0.4917432069778442,0,True,False,False,Pathologic
505230,197404044,76561198451788699,1010 dad simulator,True,1,1,0.4917432069778442,0,False,False,False,Pathologic
505230,197320044,76561198260045623,gooooood stuff,True,0,0,0.5,0,True,False,False,Pathologic
505230,197276177,76561198406429747,artemy burakh literally made me a transgender man 7 years ago so happy pride month and belated happy 20th birthday to pathologic,True,11,3,0.5105999708175659,1,True,False,False,Pathologic
505230,196982382,76561198044813881,bought,True,0,0,0.5,0,True,False,False,Pathologic
505230,196961656,76561198064639124,play if you want brutal survival in an intriguingly mysterious setting,True,1,0,0.5,0,True,False,False,Pathologic
505230,196853310,76561198847630257,in soviet russia game beats you,True,1,0,0.5,0,True,False,False,Pathologic
505230,196736658,76561198307886042,fantastic,True,0,0,0.5,0,True,False,False,Pathologic
505230,196696595,76561198071183305,i hate myself for playing this game but cant stop,True,1,0,0.5,0,True,False,False,Pathologic
505230,196552699,76561198120566960,if you dont know what to do from the beginning youre going to semisoftlock yourself and have no way to rush through the content to fix your mistakes,False,3,3,0.527651309967041,2,False,False,False,Pathologic
505230,196322385,76561198169910859,a true masterpiece its a must play for any gamer who wants to experience one of the most unique games ever made,True,1,0,0.5,0,True,False,False,Pathologic
505230,196217488,76561197964035167,a fascinating game thematic and unique its very disquieting and affecting but not scary per se it rewards humility and caution,True,1,0,0.5,0,True,False,False,Pathologic
505230,196124460,76561198080873991,can i please have food,True,3,0,0.5422759056091307,0,True,False,False,Pathologic
505230,196099999,76561198382473160,if u hate urself enough if u cant play this just dont buy the classic hd i did,True,0,0,0.4782608747482299,0,False,False,False,Pathologic
505230,196043955,76561198165322442,gnose,True,2,0,0.541984736919403,0,False,False,False,Pathologic
505230,195873472,76561198967004645,i love to suffer,True,3,0,0.5048194527626036,0,False,False,False,Pathologic
505230,195837142,76561198088485565,very good,True,1,0,0.5,0,True,False,False,Pathologic
505230,195720437,76561198088098661,the game that stays in your head whether you want it or not its a crazy game that portraits itself as act in theater deeply symbolic ritualistic pagan game that you will not understand unforgiving gameplay that has a core which contains frustration a strange unconventional game that you need to experience maybe at night alone and ready to suffer bring some candles and pray youll need every form of energy help good luck ,True,0,0,0.5,0,False,False,False,Pathologic
505230,195366066,76561198808257258,7 ,True,0,0,0.5,0,True,False,False,Pathologic
505230,195338857,76561198022662955,whoops i tripped and fell into hyperfixation artemy will adopt every orphan he meets and because of that he is husband great game you have to let it into your heart though,True,2,0,0.4974874556064605,0,True,False,False,Pathologic
505230,195246303,76561198088981664,desista dos seus sonhos e morra  jogo bom pode comprar,True,0,0,0.5,0,True,False,False,Pathologic
505230,195239114,76561198126352898,one of the most wellwritten games ive ever played a new alltime favourite of mine,True,3,0,0.5238095521926879,0,True,False,False,Pathologic
505230,195228748,76561198117137261,that was the most painfull game ive ever played would recommend,True,0,0,0.5,0,False,False,False,Pathologic
505230,195017943,76561198162384833,playing as hot menkhu surgeon  other hot doctor is pain in your ass people dying around you children sell you drugs and ammo  you are the expert at searching every trash bin in the town every masochist or trash bin lover should play this bayartay,True,3,0,0.5185185670852661,0,True,False,False,Pathologic
505230,194493901,76561198066593922,55 20,True,0,0,0.5,0,True,False,False,Pathologic
505230,194330957,76561199040984373,this game is a good moral compass question for first time friends,True,1,0,0.5172414183616638,0,True,False,False,Pathologic
505230,194183668,76561198067411245,plays pretty well on steam deck with minor graphics adjustments,True,0,0,0.5,0,True,False,False,Pathologic
