appid,recommendationid,author_steamid,review,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,game_title
291860,201488121,76561198013414625,i bounced off this game a few times but im very glad i gave it another chance it takes some time to get going but takes advantage of its extremely simple mechanics by making you master and exploit them to perfection with how challenging the missions get   the story and writing also kept me entertained the whole time and was full of classic newgrounds humor surprisingly ended up being one of my favorite games by the behemoth,True,0,0,0.5,0,True,False,False,Pit People
291860,200646227,76561197973135554,wish there was a sequel nice free roam  endless turn based rpg with catch mechanic just a good time,True,0,0,0.5,0,True,False,False,Pit People
291860,199848104,76561199441386075,this game is the most hilarious and fun rpg i have played i want to be a blue berry farmer now,True,1,0,0.5238095521926879,0,True,False,False,Pit People
291860,199700376,76561198051269043,,True,0,1,0.5,0,True,False,False,Pit People
291860,199585178,76561198834251117,funneh,True,0,0,0.5,0,True,False,False,Pit People
291860,199073795,76561199231895403,goodness i love behemoths humor very fun and very funny,True,1,0,0.5238095521926879,0,True,False,False,Pit People
291860,198960068,76561199094473166,rich doubleglaze is the bestest character,True,0,0,0.5,0,True,False,False,Pit People
291860,198668366,76561197990097613,its pretty fun  the ui is a bit confusing but the combat is great,True,0,0,0.5,0,True,False,False,Pit People
291860,198439424,76561198093301032,"had a lot of fun playing this game it has unique humor and art style the gameplay is addictive although repetitive the pace of the game is pretty slow too so i can see how some people can consider it boring",True,2,0,0.5238095521926879,0,True,False,False,Pit People
291860,198216938,76561198799355682,1010 great game love when i set all those orphans free,True,1,0,0.5238095521926879,0,True,False,False,Pit People
291860,197987666,76561199246021974,pit people is just like the video on the home page simple strategic and very fun,True,0,0,0.5,0,True,False,False,Pit People
291860,197925850,76561198846288237,please buy this game its fantastic  my girlfriend and i had a blast playing through this co op  still havent completed the game having fun with it love the voice acting stamper does a terrific job as does the behemoth teams work i always have fun with the games they put out,True,0,0,0.5,0,True,False,False,Pit People
291860,197789008,76561198426427650,pretty epic,True,0,0,0.5,0,True,False,False,Pit People
291860,197755055,76561198060488498,its cool,True,0,0,0.5,0,True,False,False,Pit People
291860,197616090,76561199508748086,more like pit poople,True,1,0,0.5238095521926879,0,True,False,False,Pit People
291860,197436006,76561198114291317,was a good while when i played it a lot of fun coming up with groups and seeing how well you they do though there was some battle that were total bs,True,0,0,0.5,0,True,False,False,Pit People
291860,197401616,76561199071206846,this game is good why is this the odd one of all their games,True,0,0,0.5,0,True,False,False,Pit People
291860,197039624,76561198059939233,a great turnbased game feels a lot like a tabletop game love it,True,2,0,0.5238095521926879,0,True,False,False,Pit People
291860,196785041,76561198122666106,best behemoth game criminally underrated awesome soundtrack gameplay comedy and story behemoth really took a wild turn on this game and made it really unique i just wish it was more popular and i wish there was modding support andor dlc i dont care what price this game gets an 300 rating from me i want moar,True,3,0,0.5234899520874023,0,False,False,False,Pit People
291860,196492521,76561199339479357,i goon to ts,True,0,0,0.5,0,True,False,False,Pit People
291860,196357521,76561198326946560,the only game that consistently makes me laugh audibly,True,2,0,0.541984736919403,0,True,False,False,Pit People
291860,196326118,76561199218677678,balls,True,0,0,0.5,0,True,False,False,Pit People
291860,195414735,76561198122560704,good game,True,0,0,0.5,0,True,False,False,Pit People
291860,195374383,76561198073591832,i hate bears now,True,1,1,0.5238095521926879,0,True,False,False,Pit People
291860,194932969,76561197991515727,sooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo creamyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,True,0,0,0.5,1,True,False,False,Pit People
291860,194765065,76561198050543729,is fun becomes tedious steam deck works well with it,True,0,0,0.5,0,True,False,False,Pit People
291860,194380682,76561198060139497,simple but fun turnbased game with behemoths charm,True,1,0,0.5,0,True,False,False,Pit People
291860,193838875,76561199817119306,very fun took me a while to get into the game though,True,2,1,0.5435684919357299,0,True,False,False,Pit People
291860,192951283,76561199050174055,we the people are in the pit of all people,True,0,0,0.5,0,False,False,False,Pit People
291860,192839333,76561198265449710,i will forever love everything the behemoth gave to my childhood with castle crashers and battle block theatre then years later when they released this it made me remember why i love them goated game just like the rest of their games idk if everyone shares the same views but i think these games are funny asf,True,0,0,0.5,0,True,False,False,Pit People
291860,192507290,76561198249519772,this is a behemoth game we are talking aboutare you really going into here to read reviews great game great company behind it i thank them for the great games i had in my childhood thank you,True,2,0,0.52173912525177,0,True,False,False,Pit People
291860,192262773,76561198114076575,its alright,True,0,0,0.4761904776096343,0,True,False,False,Pit People
291860,191894080,76561198090211204,very good,True,0,0,0.5,0,False,False,False,Pit People
