appid,recommendationid,author_steamid,review,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,game_title
1922560,202078304,76561199554356130,i like this game,True,0,0,0.5,0,True,False,False,Plants vs. Zombies
1922560,202078066,76561199545915610,pvzzzzzzzzzzzzzzzzz,True,0,0,0.5,0,True,False,False,Plants vs. Zombies
1922560,202077314,76561198151290403,this is a fun game you dont beat the game you just play it for fun,True,0,0,0.5,0,True,False,False,Plants vs. Zombies
1922560,202070399,76561199525882177,fun,True,0,0,0.5,0,True,False,False,Plants vs. Zombies
1922560,202069061,76561199174846597,this game is fire fr,True,0,0,0.5,0,True,False,False,Plants vs. Zombies
1922560,202065710,76561199472037411,jebi,True,0,0,0.5,0,True,False,False,Plants vs. Zombies
1922560,202063088,76561199377680652,hfctyuifyujvkuyfui6fuityck,True,0,0,0.5,0,True,False,False,Plants vs. Zombies
1922560,202056854,76561199428298918,bery good game but for torch wood pls add a big stump version as a type of torch wood like other charecters,True,0,0,0.5,0,False,False,False,Plants vs. Zombies
1922560,202055551,76561199821035283,good game,True,0,0,0.5,0,True,False,False,Plants vs. Zombies
1922560,202052502,76561199422404377,zombies better,True,0,0,0.5,0,True,False,False,Plants vs. Zombies
1922560,202052106,76561199481690535,its quite fun but in my opinion its better when you play with other people,True,0,0,0.5,0,True,False,False,Plants vs. Zombies
1922560,202051108,76561199197343496,god tier game get it,True,0,0,0.5,0,True,False,False,Plants vs. Zombies
1922560,202045718,76561198979052124,,True,0,0,0.5,0,True,False,False,Plants vs. Zombies
1922560,202036534,76561198924137279,i love this game pvzgw2 is a wacky hijink filled hero shooter which is why it fucking sucks that its filled with cheaters and nothing is being done about it instead popcap and ea are releasing a soulless cash grab remake of the first pvz game  i fucking hate those companies so much,True,0,0,0.5,0,True,False,False,Plants vs. Zombies
1922560,202032219,76561199759541332,good,True,0,0,0.5,0,True,False,False,Plants vs. Zombies
1922560,202030671,76561199230628078,so purrfekt i wuv it so munch,True,0,0,0.5,0,True,False,False,Plants vs. Zombies
1922560,202026547,76561199124267377,brainssss,True,0,0,0.5,0,False,False,False,Plants vs. Zombies
1922560,202021311,76561198316357320,my parents always told me to go outside and touch grass instead i bought this game and it has changed my life in many ways at first i had no idea what a plant was and then one day i got curious and walked outside and touched a plant however because i have not showered in the last 10 years the plants started attacking me thinking i was a zombie 1010 game would touch grass again,True,0,1,0.5,0,True,False,False,Plants vs. Zombies
1922560,202017115,76561198974415086,amazing,True,0,0,0.5,0,True,False,False,Plants vs. Zombies
1922560,202011838,76561199588965750,play this game when your on sum  this game is fucking peak,True,0,0,0.5,0,False,False,False,Plants vs. Zombies
1922560,202009459,76561199653180650,timeless,True,0,0,0.5,0,True,False,False,Plants vs. Zombies
1922560,202005964,76561199396329244,very good,True,0,0,0.5,0,True,False,False,Plants vs. Zombies
1922560,202005545,76561199262492844,my first gambling experience,True,0,0,0.5,0,True,False,False,Plants vs. Zombies
1922560,202004220,76561199367944793,im like kill zombi,True,0,0,0.5,0,True,False,False,Plants vs. Zombies
