appid,recommendationid,author_steamid,review,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,game_title
2200,201994462,76561198122593421,please please please hd or remastered version please,True,0,0,0.5,0,True,False,False,Quake III Arena
2200,201985834,76561198008462593,nostalgy at his peak so much time playing this game back in the days,True,1,0,0.5,0,True,False,False,Quake III Arena
2200,201893398,76561198014358163,orbb,True,2,0,0.5238095521926879,2,True,False,False,Quake III Arena
2200,201874689,76561199091977418,its fast paced and chaotic in all the right ways my computer science teacher has this completely totally legally downloaded on the schools pcs so he taught me and my friends to play one class and it was awesome i can see why he loves it so much glad online has measures against camping cus lowkey he was a camper,True,0,0,0.5,0,True,False,False,Quake III Arena
2200,201842248,76561198829507000,quake 3 is amazing but the developers really need to make hosting private multiplayer sessions easier or simply more intuitive as our group couldnt figure it out and had to connect to a brazilian server with terrible latency which killed the evening,True,0,0,0.5,0,True,False,False,Quake III Arena
2200,201811320,76561198143870603,not bad,True,1,0,0.4942339360713958,0,True,False,False,Quake III Arena
2200,201806950,76561199665391531,this game was once my dads favorite game its pretty cool if you like doom you will like quake its like doom but older,True,1,1,0.52173912525177,0,True,False,False,Quake III Arena
2200,201754635,76561198133645389,good old fps love,True,2,0,0.5279383063316345,0,True,False,False,Quake III Arena
2200,201404350,76561198071582488,"welcome to quake 3 arena enter portal to begin combat",True,3,0,0.5173449516296386,0,True,False,False,Quake III Arena
2200,201395114,76561197970624221,just realized i have not reviewed this masterpiece  epic 90s shooter this is so great    id should be immortalized    recommended,True,8,0,0.5549481511116027,0,True,False,False,Quake III Arena
2200,201233453,76561199197976600,"classic mindless deathmatch fun won my second match i joined late on the first one using my pro gamer fragging skills  definitely recommend getting this along with the rest of the quake games when theyre on sale   810",True,2,0,0.5307262539863586,0,True,False,False,Quake III Arena
2200,201167443,76561198046409563,quake 3 arena is my favourite fps i love the level the weapons and the way you move around the maps i might stream a few level soon httpswwwtwitchtvsteveofstevesgames,True,0,1,0.4705882370471954,2,True,False,False,Quake III Arena
2200,201012808,76561197963330804,bots will always be there for you localhost the movement is annoyingly stiff at times,True,1,1,0.4932249188423156,0,False,True,False,Quake III Arena
2200,200725083,76561199065234120,oh yeah this is where its at,True,0,0,0.5,0,True,False,False,Quake III Arena
2200,200175516,76561198873407502,humiliation,True,1,1,0.4706023037433624,0,True,False,False,Quake III Arena
2200,200043251,76561198402964484,fun,True,0,0,0.5,0,True,False,False,Quake III Arena
2200,200035594,76561198342187973,this damaged my quad ,True,0,0,0.5,0,True,False,False,Quake III Arena
2200,199865738,76561198394816991,goat,True,1,0,0.52173912525177,0,True,False,False,Quake III Arena
2200,199596338,76561199410749865,absolute chaos in its purest form,True,0,1,0.5,0,True,False,False,Quake III Arena
2200,199203856,76561199201679660,"best fps ever this game is so thrilling i am addicted to it more than any of those new boring fps games if you are sick of boring tactical fps games then try this",True,6,0,0.5703125,0,True,False,False,Quake III Arena
2200,199173911,76561198159425614,goat,True,3,0,0.52173912525177,0,True,False,False,Quake III Arena
2200,198863881,76561197977377447,yes,True,1,1,0.5,0,True,False,False,Quake III Arena
2200,198595557,76561198075847445,the classic arena game that still fun to play despite its aging graphics  well balanced gameplay with almost no skill ceiling  offer a decent offline single player mode with bots if you dont want to bother playing online  bots in quake 3 should offer a challenge for most players and they are very tough on the highest difficulty  a decent amount of maps and most of them are well built  anyone who like old school fps should give this one a try if they dont already know what quake 3 is,True,1,0,0.5,0,True,False,False,Quake III Arena
2200,198463497,76561198344478727,is there anything better than that,True,1,0,0.5,0,True,False,False,Quake III Arena
2200,197811940,76561197997142656,,True,5,0,0.5296167135238647,0,True,False,False,Quake III Arena
2200,197759956,76561199621966966,it was kinda fun it wasnt worth the money movement is smooth the vibe is forsure the 90s which i guess is the point i was hoping to get rolled by some sweaty ogs but that didnt happen fun for a minute but no real urge to keep playing  best part winning worst part paying  would i recommend it not really  unless youre an oldhead looking for some nostalgia   6510  httpsyoutubev3h1gsxqqke,True,3,2,0.5199999809265136,0,True,False,False,Quake III Arena
2200,197446332,76561197970914708,legend masterpiece with halflife,True,0,0,0.5,0,True,False,False,Quake III Arena
2200,197265914,76561199690017914,fast,True,1,0,0.5,0,True,False,False,Quake III Arena
2200,197236260,76561198115131139,a classic   simple yet very fun shooter with amazing design game play and even storycharacter ideas   i do have nostalgia hitting hard so modern audiences might not appreciate it as much without it but its still  a great game,True,2,0,0.5,0,True,False,False,Quake III Arena
2200,196905399,76561198089337198,11,True,0,0,0.5,0,False,False,False,Quake III Arena
2200,196064061,76561198852677797,i personally prefer quake live but this is still the purest arena shooter experience you can get grab a railgun and do exactly what you think you should do,True,1,0,0.5,0,True,False,False,Quake III Arena
2200,195929788,76561197972657976,classic fun,True,1,0,0.5,0,True,False,False,Quake III Arena
2200,195864128,76561198098527172,amazing game,True,0,0,0.5,0,True,False,False,Quake III Arena
2200,195715046,76561197970881605,"a great trip down memory lane the graphics now suck of course but i can finally play the game with all eye candy blazing at a ridiculously high framerate  just what i always wanted  about 25 years ago   the maps the speed rocket jumps and simplicity of the arena death match will never lose their appeal to me this grandmother of shooters simply rocks for those who have the reflexes",True,3,0,0.525547444820404,0,True,False,False,Quake III Arena
2200,195658776,76561198318968195,marjinellik babacum,True,0,0,0.5,0,False,False,False,Quake III Arena
2200,195516014,76561199083628776,dont be the type of guy to camp the quad damage i already took it ya chud,True,5,2,0.5687849521636962,0,False,False,False,Quake III Arena
2200,195251157,76561199811848381,i like,True,0,0,0.5,0,True,False,False,Quake III Arena
2200,195233709,76561198801860415,trying out this old game i once watched when i was a brat just to recall my childhood and having a bit of fun ,True,0,0,0.5,0,True,False,False,Quake III Arena
2200,195188914,76561199070116466,kinda hard to run the game on modern hardware but its a good game i thought there was no modern way to play the game but now i found a steam version,True,0,0,0.5,0,False,False,False,Quake III Arena
2200,195183906,76561198972429299,quaker,True,0,0,0.5,0,True,False,False,Quake III Arena
2200,195040269,76561198061567074,quake 3 arena favorite shooter since age 9 real hours played probably 500 lmao,True,4,0,0.5590502619743347,0,True,False,False,Quake III Arena
2200,194891087,76561198053569898,fun for all time,True,1,0,0.525547444820404,0,True,False,False,Quake III Arena
2200,194693235,76561198042012741,classic,True,0,0,0.5,0,False,False,False,Quake III Arena
2200,194660649,76561197971721135,pretty much perfect,True,0,0,0.5,0,True,False,False,Quake III Arena
2200,194618158,76561198041029444,may be the greatest shooter,True,0,0,0.5,0,True,False,False,Quake III Arena
2200,194550205,76561198889507242,this game is the best game i have ever played instant action no bs,True,4,0,0.5634920597076416,0,True,False,False,Quake III Arena
2200,194251078,76561198114292159,og,True,0,0,0.5,0,True,False,False,Quake III Arena
2200,194155273,76561198314377250,banger,True,0,1,0.5,0,False,False,False,Quake III Arena
2200,194060904,76561198180673226,my mind space is rocket jumping and shooting the railgun on floating platforms in an endless void,True,3,1,0.56521737575531,0,True,False,False,Quake III Arena
2200,193813558,76561199153340245,awesome replayable fragging,True,2,0,0.5,0,True,False,False,Quake III Arena
2200,193645444,76561199788025081,it is fucking amazing,True,1,0,0.5,0,True,False,False,Quake III Arena
2200,193201489,76561199331800290,ultimate immortal classic,True,1,0,0.5,0,True,False,False,Quake III Arena
2200,193012191,76561198806209362,one of the best shooters of all time especially with mods like cpma which is why steam doesnt detect my playtime please buy this instead of modern aaa slop with loot boxes and other bs,True,1,0,0.5,0,True,False,False,Quake III Arena
2200,192901863,76561198215508597, 3 ,True,1,0,0.4806767106056213,0,True,False,False,Quake III Arena
2200,192743743,76561199523670967,they need to remaster this,True,6,2,0.5374667048454284,0,True,False,False,Quake III Arena
2200,192453632,76561197982332607,soda para baralho,True,0,0,0.5,1,True,False,False,Quake III Arena
2200,192393731,76561197984888974,thanks for the quartercentury,True,4,0,0.5553257465362548,0,False,False,False,Quake III Arena
2200,192152853,76561197989591829,good game,True,1,0,0.5238095521926879,0,True,False,False,Quake III Arena
2200,191835667,76561199697053848,this twist on the id fps has a lot of mud blood  beer to keep anyone interested,True,0,0,0.5,0,True,False,False,Quake III Arena
2200,191365363,76561198243020530,still fun in singleplayer or multiplayer especially with the modding theres plenty of maps and characters mods to download and mess around with its an old game but theres still fun in it i played this on consoles before but pc is obviously the better version to play quake 3,True,0,0,0.5,0,True,False,False,Quake III Arena
2200,191078903,76561198878022277,yes,True,0,0,0.5,0,True,False,False,Quake III Arena
2200,190601096,76561198974051360,absolute cinema,True,2,0,0.5435684919357299,0,True,False,False,Quake III Arena
2200,190547334,76561199485966541,great game but its just dead had to play with bots,True,0,0,0.5,0,True,False,False,Quake III Arena
2200,190516141,76561198802976923,first and the best fps game that i ever played ngl,True,2,0,0.5326548814773558,0,True,False,False,Quake III Arena
2200,190354428,76561199522716735,it is veri goed,True,0,0,0.4942339360713958,0,True,False,False,Quake III Arena
2200,190325039,76561198032792701,still the best arena shooter ever made in regards to gameplay and smoothness of movement in general,True,0,0,0.5,0,True,False,False,Quake III Arena
2200,190038173,76561198091897155,it has low graphics but it has good gameplay and mechanicsi think its pretty good,True,0,0,0.4942339360713958,0,True,False,False,Quake III Arena
2200,189888256,76561198013444233,ioquake3,True,5,0,0.5997392535209655,0,True,False,False,Quake III Arena
2200,189849329,76561198118226667,good old arena game it is still enjoyable to play despite the dated graphics,True,1,0,0.5058823823928833,0,False,False,False,Quake III Arena
2200,189823866,76561198311557580,goated game,True,0,0,0.4942339360713958,0,True,False,False,Quake III Arena
2200,189777869,76561198089869640,classic playing since its release,True,0,0,0.4942339360713958,0,False,False,False,Quake III Arena
2200,189520893,76561198075646622,,True,2,1,0.541984736919403,0,True,False,False,Quake III Arena
2200,189436291,76561198215219265,still the best arena deathmatch experience there is,True,0,0,0.5,0,False,False,False,Quake III Arena
2200,189288662,76561198347666550,killqlive,True,1,0,0.5238095521926879,0,True,False,False,Quake III Arena
2200,189030702,76561198006201515,cool game,True,0,0,0.4942339360713958,0,True,False,False,Quake III Arena
2200,188839831,76561197978631819,classic,True,0,0,0.5,0,True,False,False,Quake III Arena
2200,188835084,76561198123228125,g r o o v y ,True,0,0,0.5,0,False,False,False,Quake III Arena
