appid,recommendationid,author_steamid,review,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,game_title
985890,201328012,76561199870022630,love it still the best side scrolling beatem up series of all time,True,0,0,0.5,0,False,False,False,Streets of Rage 4
985890,201324784,76561198034834359,great game get out some aggression,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,201168275,76561198152108248,i love it the nostalgia factor is immense,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,201092365,76561198046787561,good music and fun fights,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,200767732,76561197985654528,"big fan of the series this is my favorite its not only unique and adds depth to the series but its celebrating the entire series at the same time",True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,200721872,76561198018243778,beautiful game i give it 4 beatdowns outta 5 with great music playing in the background,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,200693380,76561199107964152,the streets of rage series is a goat classic and im glad that this entry is great,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,200463846,76561198447074008,get em cherry beat em up girl  damn i didnt know that this game is a dance dance revolution irl edition,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,200340972,76561198009983368,this game is awesome if you like side scroll action this is it,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,200337392,76561198233035896,very fun simple fighting game,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,200270764,76561197992810588,uma obra prima recomendo,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,200207359,76561199021672506,great beat em up brings back great memories ,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,200171541,76561198061485590,great game scene transitions can be tricky but with the dpad they seem to work,True,0,0,0.5,0,False,False,False,Streets of Rage 4
985890,199827633,76561197986878318,of course i love this game its an excellent throw back that gives the old franchise new life its tons of fun,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,199594243,76561198028515985,incredible fighting game style depth combined with a good ol buddy system beatem up i wish there was more dlc or a sor5 on the horizon only shame is capping at 2 players for online,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,199548894,76561199042820372,good old beat them up,True,0,1,0.5,0,True,False,False,Streets of Rage 4
985890,199487186,76561198021714510,one of the best beat em up game of all time,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,199413631,76561198004358155,this is the first beatemup ive actually tried to do well in and im honestly shocked how much more there is to this game than i realized at first  the normal difficulty is a great way to familiarize yourself with your characters attacks and the enemy behaviors and the higher difficulties keep things interesting by varying the enemy spawns  each level in the campaign has something to make it unique and the combat is deceptively deep  its good,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,199412054,76561198008449247,"awesome revival of old school beat em up genre  series  unlocking everything through gaming as it should be no p2w stuff just good fun with many characters to fight with  music is always awesome in these games also gameplay  controls  coop is nice but could use more work or more content it gets a bit repetitive  but i suppose that is a thing with old school games like this  had some fun in the end with this game it was nice throwback into nostalgia",True,0,0,0.5,0,False,False,False,Streets of Rage 4
985890,199280677,76561198301492320,roo doing tatsu ,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,199248154,76561197960687649,great game definitely gives me some streets of rage 2 vibes,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,199237513,76561199069395729,stage 12 on hard had me tweaking,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,199214701,76561198853944627,one of the best beat em up games to exist in my opinion,True,0,0,0.5,0,False,False,False,Streets of Rage 4
985890,199125651,76561198205476552,nice game,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,199052722,76561198820303741,wow,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,198984937,76561199350897345,games very opium,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,198965719,76561197970362029,the final fight is rage inducing  there are very annoying cheap and unfair fight mechanics that should have been fixed prior to release  these problems are not uncommon in the genre  however my desire to relive the fun i had playing sor ii decades ago can only tolerate so much,False,0,1,0.5,0,True,False,False,Streets of Rage 4
985890,198890490,76561198056114569,good game,True,0,0,0.5,0,False,False,False,Streets of Rage 4
985890,198832677,76561197981614790,very good,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,198638350,76561198001855672,awesome beat em up with great mechanics and remote play own one copy play with three other friends get it on sale easily get your monies worth,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,198524834,76561198137831010,love it,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,198467493,76561197969655659,great game drops to about 13 when on sale with mr x expansion definitely a must buy for a any collection hopefully an expansion or new game in the works love it,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,198384027,76561198035182218,i am playing this game with family members with my controllers and this is quite fun the combat system has decent depth to it the characters are fun as well,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,198315238,76561199406675702,really fun game i definitely recommend it,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,198148246,76561198203886985,an alltime great by every metric the grooviest music to beat dudes up to intuitively tight controls a lovely yet readable art style and a genuinely compelling mechanical progression  special shout out to the enemies all of which are memorable muscle dyke lovers rejoice i even enjoyed discovering the names and moveset differences of each recolor the final boss could use more pizzazz but thats a nitpick,True,0,0,0.5,0,False,False,False,Streets of Rage 4
985890,197728305,76561198203624985,"recommended yes just dont throw the pipe while youre playing with your girlfriend",True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,197569157,76561198044252779,at the time of this post i just realized i had 94 hours played it made me realize i should put a review saying how much i love this game this game went from 90 to 100 after the updates,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,197537612,76561198890058949,good stuff,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,197394043,76561199543150593,great game,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,197376005,76561198048419405,castle crashers is my all time favourite beat em up it was integral to my childhood and my reason for making an xbox live account  streets of rage 4 has no such soft spot in my heart yet i feel confident saying it may very well be the greatest beat em up of all time,True,1,0,0.5,0,True,False,False,Streets of Rage 4
985890,197326345,76561198153818057,is a classic fam,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,197234500,76561198879112627,fun,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,197232558,76561198080297087,this game fucking bangs single mothers sideways,True,0,1,0.5,0,False,False,False,Streets of Rage 4
985890,197193546,76561198141598087,a good old game back to life where the finish the game once is easy and it becomes harder and harder when raise difficulty not like modern games where to finish the games once is a pain and then it is easy as a eating a cake,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,197061736,76561198013389821,its good to see a continuation to a childhood game i think they did a pretty decent job of this not really replayable though as there is no difference in the story regardless of who is used once its completed its down to replaying for achievements if thats your thing,True,0,0,0.5,0,False,False,False,Streets of Rage 4
985890,197055582,76561199811075532,this game made me want to destroy my local pheasant population,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,196961940,76561199865952829,good scrolling beat em up great survival mode and normal mode,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,196576568,76561199379648087,i like this game its exciting and the controls are easy  i like how the different characters have different strengths  the dlc adds so much replay value and your characters grow stronger each time you play,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,196365533,76561198156182470,nice moves,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,195961484,76561197971870723,great as a sequel and as its own game faithful good looking mechanically sound and challenging enough proves that legacy sequels do work when done with care and passion and with no blatant pandering to anyone or anything,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,195957083,76561197961110892,this game is so perfect for the steam deck or a steam box i cant get over it i have a bazzitte steam box on my 77 oled and was playing with a controller the graphics are great the music is great and the game play is very good i highly recommend that if you like any sidescroller fighting games to add this to your library immediately,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,195941460,76561198991207991,amazing music and throwback to the old ones i recommend it,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,195925417,76561198073458138,great beat em up game lots of fun the health special recovery mechanic is very cool  its pretty long and doesnt have multiple paths so replaying isnt as fun as some other bmups but thats really the only complaint i have  dlc survival mode is pretty fun too but some of the random hazards are a little too oppressiveeasy to abuse sometimes,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,195652521,76561198310954494,ok,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,195579758,76561198272916521,very good little game,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,195569616,76561197969757038,good game,True,0,0,0.5,0,False,False,False,Streets of Rage 4
985890,195459800,76561198014162523,arguably the best brawl game ever made i highly recommend it to fans of the genre and anyone who like fun fighting games with great graphics and interesting characters,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,195385855,76561198205247716,streets of rage was one of the first games i ever played back on the sega genesis the developers did an incredible job at preserving the charm and pure arcade enjoyment from the earlier entries while also elevating the gameplay in new ways with ultra powerful special and star moves for each character art style and soundtrack are srank,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,195320757,76561198155537614,rly fun,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,195185187,76561198045592963,its peak,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,195169990,76561197997962913,nice game my new addict game goodbye cs2 ,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,195101039,76561199101493412,needs more content now but other than that its great oh and 4 players,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,195054488,76561197969354503,a m a z i n g,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,194972837,76561198044010611,a solid beatemup that delivers on par with the yakuza series lots of fun,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,194904525,76561198009847609,great game great fun dont try it on hard difficulty as the last boss is a nightmare  1010,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,194904499,76561198812885235,amazing game,True,0,0,0.5,0,True,False,False,Streets of Rage 4
985890,194881116,76561198243316348,classic games with nice graphic and technique to play,True,0,0,0.5,0,True,False,False,Streets of Rage 4
