appid,recommendationid,author_steamid,review,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,game_title
378720,200094322,76561198013920063,relaxing endless replay ability this is a game that i go to when everything else just isnt doing it for me,True,1,0,0.5238095521926879,0,True,False,False,Thea: The Awakening
378720,198356512,76561197963371090,played this game a lot on playstation good blend of storytelling and party management i played vagrus recently and it was hard not to compare it to this game and appreciate the way this game blocks dialogue in a way that is engaging while being informative,True,0,0,0.5,0,True,False,False,Thea: The Awakening
378720,197411270,76561197963654759,gave this multiple tries and still cant really find the fun i like the slavic mythology cool names for the characters but there is weird unnecessary complexity in the ui and combat system that overall just prevents me from enjoying this title   shame as you can see a lot of work went into this just not with enough thought about the new user experience i guess,False,2,0,0.5164042115211486,0,True,False,False,Thea: The Awakening
378720,197344771,76561198893025387,very fun game you do not need to get into long drawn out fights if you dont want to but if you do there is always ways to optimize multiple balanced ways of approaching every game makes it very replayable,True,0,0,0.5,0,True,False,False,Thea: The Awakening
378720,197007568,76561199384182259,thea the awakening is a fun game but quite grindy you have to be prepared to sink hours into the game,True,1,0,0.5238095521926879,0,True,False,False,Thea: The Awakening
378720,196667659,76561199568813511,is good,True,0,0,0.5,0,True,False,False,Thea: The Awakening
378720,196072222,76561198034083561,fun game crafting system is neat,True,0,0,0.5,0,True,False,False,Thea: The Awakening
378720,195432070,76561199565185755,,True,0,0,0.5,0,True,False,False,Thea: The Awakening
378720,193288886,76561198410497913,solid,True,0,0,0.5,0,False,False,False,Thea: The Awakening
378720,192521725,76561198034798735,love this game so glad i found it wish there were updates andor expansions,True,0,0,0.5,0,True,False,False,Thea: The Awakening
378720,191173970,76561198020220051,i had fun with this somewhat unique system based on population,True,0,0,0.5,0,False,False,False,Thea: The Awakening
378720,191124344,76561198029191347,very unique game with so much replayability,True,0,1,0.5,0,True,False,False,Thea: The Awakening
378720,189250486,76561198037515091,nice game,True,0,0,0.5,0,True,False,False,Thea: The Awakening
378720,189130228,76561198161086448,great game,True,0,0,0.5,0,True,False,False,Thea: The Awakening
378720,187059442,76561197997488980,excellent for the price easy to pick the basic gameplay,True,2,0,0.5225464105606079,0,True,False,False,Thea: The Awakening
