appid,recommendationid,author_steamid,review,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,game_title
594570,202039596,76561199418675927,great way to kill time,True,0,0,0.5,0,True,False,False,Total War: WARHAMMER II
594570,202039129,76561199877418325,plays good very challenging,True,0,0,0.5,0,True,False,False,Total War: WARHAMMER II
594570,201958082,76561197998028419,even there is iii out love playing ii 3,True,0,0,0.5,0,False,False,False,Total War: WARHAMMER II
594570,201928577,76561198980178407,its great fun blood for the blood god,True,0,0,0.5,0,True,False,False,Total War: WARHAMMER II
594570,201926087,76561198246208328,indeed,True,0,0,0.5,0,True,False,False,Total War: WARHAMMER II
594570,201914984,76561198080105671,probably my favorite strategy game,True,0,0,0.5,0,True,False,False,Total War: WARHAMMER II
594570,201890052,76561198159295342,always loved total war total war with warhammer fantasy battles is like a dream come true the only downside is the diplomacy system was tuned down quite a bit and the focus is far greater on battles which makes for fun faster style play easier for new players to get into,True,0,0,0.5,0,True,False,False,Total War: WARHAMMER II
594570,201881579,76561199861121567,smooth deep individualized lorheme and variables rest in peace lady crystal,True,0,0,0.5,0,True,False,False,Total War: WARHAMMER II
594570,201871632,76561198012808554,extremely annoying game cant believe shogun 2 with its zero variety of units is more enjoyable than this,False,0,0,0.5,0,True,False,False,Total War: WARHAMMER II
594570,201804087,76561198068536760,fun game  reminds me of homm but updated and upgraded etc,True,0,0,0.5,0,False,False,False,Total War: WARHAMMER II
594570,201791188,76561198086263859,after playing video games for almost 15 years its pretty rare for me to get sucked up in a game but in total war warhammer 2 i start a new campaign and suddenly 5 hours have passed,True,0,0,0.5,0,False,False,False,Total War: WARHAMMER II
594570,201743692,76561198306337806,i tell my little freaks to run at the enemy they scream in joy i smile,True,0,0,0.5,0,True,False,False,Total War: WARHAMMER II
594570,201740994,76561199065441939,its decent howewer the dlc policy sure is annoying,True,0,0,0.5,0,False,False,False,Total War: WARHAMMER II
594570,201716390,76561198309952692,amazing game living the fantasy battles of my life,True,0,0,0.5,0,True,False,False,Total War: WARHAMMER II
594570,201678295,76561198817070766,cant get any free dlc i am supposed to but the launcher is bugged and will only allow paid dlc to download wtf is this bs steam,False,0,0,0.5,0,False,False,False,Total War: WARHAMMER II
594570,201630622,76561199577041157,for a game priced at 7489 including its dlc on steam in my region indonesia i think this game is very worth playing i admit this game is very crazy unique and hard to describe this game really meets all my crazy expectations for the gameplay i recommend this game friends try playing it its confusing at first but when you learn it over time from youtube and google tips you will know the gameplay of your game my favorite faction is skavennnn,True,0,0,0.5,0,True,True,False,Total War: WARHAMMER II
594570,201623317,76561199066863495,overall enjoyable,True,0,0,0.5,0,True,False,False,Total War: WARHAMMER II
594570,201514456,76561199088281492,nice,True,0,0,0.5,0,True,False,False,Total War: WARHAMMER II
594570,201484372,76561198058437175,amazing game,True,0,0,0.5,0,True,False,False,Total War: WARHAMMER II
594570,201426334,76561198858142926,im losing sleep over this game,True,0,0,0.5,0,True,False,False,Total War: WARHAMMER II
594570,201421794,76561198363381639,it is great,True,0,0,0.5,0,True,False,False,Total War: WARHAMMER II
594570,201378743,76561198305157918,elite,True,0,0,0.5,0,True,False,False,Total War: WARHAMMER II
594570,201351047,76561198003046555,its great,True,0,0,0.5,0,True,False,False,Total War: WARHAMMER II
594570,201344162,76561198354470140,fun game,True,0,0,0.5,0,True,False,False,Total War: WARHAMMER II
594570,201338924,76561198020317775,i really like this genre of total war warhammer the units style and behaviours like the cherished lore it could only be better if they made total war warhammer 40k please do it,True,0,0,0.5,0,True,False,False,Total War: WARHAMMER II
594570,201335142,76561198963813096,solid game play over 150 hours,True,0,0,0.5,0,True,False,False,Total War: WARHAMMER II
594570,201264646,76561198302323210,god,True,0,0,0.5,0,True,False,False,Total War: WARHAMMER II
594570,201203027,76561198147790121,its pretty good i guess,True,0,0,0.5,0,True,False,False,Total War: WARHAMMER II
594570,201182048,76561198040577164,quit enjoying the game if i have to be honest,True,0,0,0.5,0,True,False,False,Total War: WARHAMMER II
594570,201139867,76561198384436427,pretty good game would  recommend anyone,True,0,0,0.5,0,False,False,False,Total War: WARHAMMER II
594570,201075765,76561197982686424,amazing rts lots of detail,True,0,0,0.5,0,True,False,False,Total War: WARHAMMER II
594570,201070348,76561198048633023,450 off of owning warhammer 3 and the rest of dlcs,False,1,0,0.5,0,False,False,False,Total War: WARHAMMER II
594570,201027593,76561198166890390,its a good game but i still dont understand why all 3 games are priced the same it makes absolutely no sense its just greedy so while i do recommend playing the game i would only buy it when its on sale as much as we love playing these games we need to remind the publishers that we have the power and we set the price,True,0,0,0.5,0,True,False,False,Total War: WARHAMMER II
594570,200898853,76561198120484261,gud,True,0,0,0.5,0,True,False,False,Total War: WARHAMMER II
594570,200891082,76561198031963287,awesome total war game i spend most of my time on warhammer iii these days but switching it up to play this one is always fun,True,0,0,0.5,0,True,False,False,Total War: WARHAMMER II
594570,200849681,76561199070862555,do jaja,True,0,0,0.5,0,False,False,False,Total War: WARHAMMER II
