appid,recommendationid,author_steamid,review,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,game_title
42960,201447058,76561198216875036,xx,True,0,0,0.5,0,True,False,False,Victoria II
42960,201386790,76561199003153508,fun,True,0,0,0.5,0,True,False,False,Victoria II
42960,201361647,76561198354470140,fun paradox game w friends,True,0,0,0.5,0,True,False,False,Victoria II
42960,201240039,76561198049230825,we can rebuild him we can create the first bionic victoria 2  project alice,True,2,0,0.5435684919357299,0,False,False,False,Victoria II
42960,201044217,76561198153310778,better than 3,True,1,0,0.5112082958221436,0,True,False,False,Victoria II
42960,200915302,76561199232193684,no clue how to play the game mods dont show up for me would be epic if my 120 hours allowed me to have basic vic 2 game knowledge,True,0,0,0.5,0,True,False,False,Victoria II
42960,200851526,76561198410046243,victor victor victor victor victor,True,3,0,0.5506409406661987,0,False,False,False,Victoria II
42960,200826921,76561198867911555,the only way you can remove france without getting convicted of warcrimes,True,0,0,0.5,0,True,False,False,Victoria II
42960,200731258,76561199139182003,what even is a jacobin and why is he mad at me,True,0,0,0.5,0,True,False,False,Victoria II
42960,200707212,76561199283065928,i dont feel good about those graphs me boi,True,0,0,0.5,0,True,False,False,Victoria II
42960,200643422,76561198447836592,currently better than vic 3 for mega campaigns thats about it,True,0,0,0.4761904776096343,0,True,False,False,Victoria II
42960,200403728,76561198114562010,noice,True,0,0,0.5,0,False,False,False,Victoria II
42960,200327255,76561199059009899,time to invade mexico i says surely they will be weak 500k jacobin rebels peoples says,True,1,1,0.5,1,True,False,False,Victoria II
42960,200253057,76561198008512227,better than victoria 3,True,1,0,0.5238095521926879,0,True,False,False,Victoria II
42960,200167148,76561198057621904,great game,True,0,0,0.5,0,True,False,False,Victoria II
42960,200146757,76561198271664338,it is such a great game if you liked viciii you should try this one out vicii is even better,True,1,0,0.5,0,True,False,False,Victoria II
42960,200098237,76561198314332959,yes,True,0,0,0.5,0,True,False,False,Victoria II
42960,199937645,76561198185255626,a deep and complex grand strategy game that lets you manage a country during the 19th century its all about economy politics and population management and once it clicks its incredibly satisfying the learning curve is steep but the payoff is worth it for fans of historical strategy a great choice if you enjoy detailed management and shaping history,True,0,0,0.5,0,False,False,False,Victoria II
42960,199860437,76561199087497157,peakkkkkkkkkkkkkkkkkkkkkk,True,0,0,0.4761904776096343,0,False,False,False,Victoria II
42960,199639030,76561199037539455,pretty good strategy game,True,0,0,0.5,0,True,False,False,Victoria II
42960,199474255,76561199028754146,hello second victoria have you seen your third sister victoria,True,0,0,0.5,0,True,False,False,Victoria II
42960,199340888,76561199236620249,juegazo,True,0,0,0.5,0,False,False,False,Victoria II
